Phospho_Root_Tissues	Phospho_Root_Meristem	Phospho_Root_Meristem_Elong	Phospho_Root_Meristem_Elong_2	Phospho_Root_Cortex	Phospho_Root_Cortex_Silk	Phospho_Root_Cortex_&_Silk	Phospho_Multiple_7	Phospho_Multiple_6	Phospho_Multiple_5	Phospho_Multiple_1	Phospho_Mature_Pollen	Phospho_Mature_Leaf	Phospho_Leaf_Zone_3	Phospho_Leaf_Zone_3_&_Embryo_20	Phospho_Internodes	"Phospho_Internode,Silk,Pr.Root"	Phospho_Germinating_Kernals	Phospho_Endosperm_Crown	Phospho_Endosperm_12_DAP	Phospho_EndoCrown_&_PericapAl	Phospho_Embryo_20_DAP	"Phospho_EarPrim,Leaf1-3Embr20"	Phospho_Dividing_Meristematic	RNA_Silk	RNA_Silk_&_Famale_Spiklet	RNA_Root_Tissues	RNA_Root_Meristem	RNA_Root_Meristem_Elongation	RNA_Root_Cortex	RNA_Root_Cortex_2	RNA_Pericarp_Aleurone	RNA_Multiple_Dividing_Tissues	RNA_Multiple_4	RNA_Mature_Pollen	RNA_Mature_Leaf_8	RNA_Internodes_&_Veg.Meristem	RNA_Germinating_Kernals	RNA_Germinating_Kernals_2	RNA_FemaleSpikIt_&_VegMeristem	RNA_Female_Spikelet_&_Internode	RNA_Endosperm_12_DAP	RNA_EndoCrown_&_PericarpAl	RNA_Embryo	RNA_Embryo_20_DAP	RNA_Embryo_Ear_Primordia	RNA_Ear_Primordia	"RNA_EarPrim,Leaf1-3,Embr20"	Protein_Dividing_Meristematic	Protein_EndoCrown&PericarpAl	Protein_Germinating_Kernals	Protein_Internodes_2	Protein_Internodes	Protein_Leaf_Zone_3	Protein_Mature_Leaf_8	Protein_Mature_Pollen	Protein_Multiple_1	Protein_Multiple_2	Protein_Multiple_3	Protein_Pericarp_Aleurone	Protein_PrimaryRoot&RootCortex	Protein_Root_Cortex_Silk	Protein_Root_Cortex	Protein_Root_Meristem	Protein_Root_Tissues	Protein_Young_Seed_(En&Em)
GRMZM2G057646	GRMZM2G131943	GRMZM2G411536	GRMZM2G375984	GRMZM2G134481	GRMZM2G083173	GRMZM2G129675	GRMZM2G006107	GRMZM2G335070	GRMZM2G148700	GRMZM2G399313	GRMZM2G058870	GRMZM2G019879	GRMZM2G308083	GRMZM2G180988	GRMZM2G167554	GRMZM2G123896	GRMZM2G158575	GRMZM2G126260	GRMZM2G027105	GRMZM2G101711	GRMZM2G406457	GRMZM2G151015	GRMZM2G015875	AC199526.5_FG002	GRMZM2G158394	GRMZM2G588961	GRMZM2G390336	GRMZM2G073275	GRMZM2G374405	AF546188.1_FG007	GRMZM2G397687	GRMZM2G011523	GRMZM5G806651	GRMZM5G887514	GRMZM2G309058	GRMZM2G084195	GRMZM2G310955	GRMZM5G899181	GRMZM2G031545	GRMZM2G165901	GRMZM5G846674	GRMZM2G064136	AC233879.1_FG002	GRMZM5G875675	GRMZM2G337229	GRMZM2G079908	GRMZM2G497822	AC148167.6_FG001	AC186147.3_FG008	AC197699.3_FG003	AC191676.3_FG011	GRMZM2G003090	AC191069.3_FG004	AC149810.2_FG004	AC148152.3_FG008	AC149829.2_FG006	AC205419.3_FG001	AC200872.4_FG003	AC191050.3_FG003	AC155377.1_FG001	AC177908.3_FG002	AC148152.3_FG005	AC149475.2_FG002	AC190609.3_FG003	AC184165.4_FG001
GRMZM2G446050	GRMZM2G435248	GRMZM2G331368	GRMZM2G063129	GRMZM2G161109	GRMZM2G155111	GRMZM2G115518	GRMZM5G811972	GRMZM2G088793	GRMZM2G074267	GRMZM2G164868	GRMZM2G056645	GRMZM2G703858	GRMZM2G016858	GRMZM2G054821	GRMZM2G033267	GRMZM2G065066	GRMZM2G069676	GRMZM2G129261	GRMZM2G389118	GRMZM2G078360	GRMZM2G327394	GRMZM2G026580	GRMZM2G078832	GRMZM2G134797	GRMZM2G161154	GRMZM5G849427	GRMZM5G876394	GRMZM2G479684	AC234161.1_FG001	AF546187.1_FG001	GRMZM2G086294	AC211370.4_FG007	GRMZM2G354604	GRMZM2G317406	GRMZM2G504943	GRMZM2G108474	GRMZM2G567452	GRMZM2G167549	AC195340.3_FG001	GRMZM2G303374	GRMZM2G101958	GRMZM5G847527	GRMZM2G402564	GRMZM2G529363	GRMZM5G867256	AC220927.3_FG007	GRMZM2G544587	AC149475.2_FG003	AC191534.3_FG003	AC197705.4_FG003	AC202185.4_FG004	GRMZM2G008202	AC204711.3_FG002	AC149810.2_FG008	AC149818.2_FG005	AC155622.2_FG004	AC205703.4_FG010	GRMZM2G003648	AC206184.4_FG002	AC155622.2_FG001	AC183888.4_FG006	AC152495.1_FG003	AC177850.2_FG005	AC194203.3_FG003	AC197717.3_FG002
GRMZM2G149520	GRMZM2G098355	GRMZM2G151387	GRMZM2G098643	GRMZM2G065292	GRMZM2G145088	GRMZM2G080499	GRMZM2G106133	GRMZM2G122740	GRMZM2G051348	GRMZM5G898314	GRMZM2G140107	GRMZM2G017249	GRMZM2G378027	GRMZM2G391665	GRMZM2G085926	GRMZM2G036525	GRMZM2G437100	GRMZM2G063203	GRMZM2G053781	GRMZM2G092409	GRMZM2G132847	GRMZM2G030038	GRMZM2G476933	GRMZM2G094712	GRMZM2G010868	GRMZM5G877729	GRMZM2G153541	GRMZM2G332838	GRMZM5G836166	AF546188.1_FG005	GRMZM2G518638	GRMZM2G004528	GRMZM2G108348	GRMZM2G129064	GRMZM2G353753	GRMZM2G144387	GRMZM5G841025	GRMZM5G855537	GRMZM2G058522	GRMZM2G020940	GRMZM2G406557	GRMZM2G124335	GRMZM5G856705	GRMZM2G092038	GRMZM2G368861	GRMZM2G052422	GRMZM5G882806	AC149475.2_FG005	AC192451.3_FG001	AC206425.3_FG002	AC205362.4_FG002	GRMZM2G009189	AC206989.4_FG002	AC188023.3_FG005	AC188752.3_FG011	AC159612.1_FG007	AC205897.3_FG002	GRMZM2G035421	AC207652.3_FG001	AC177897.2_FG022	AC198206.5_FG001	AC155610.2_FG007	AC183950.2_FG006	AC199765.4_FG008	AC202915.3_FG002
GRMZM2G116190	GRMZM2G345055	GRMZM2G094935	GRMZM2G048494	GRMZM2G097249	GRMZM2G348909	GRMZM2G163141	GRMZM2G006673	AC234158.1_FGP005	GRMZM2G068217	GRMZM2G135808	GRMZM2G104958	GRMZM2G032351	GRMZM2G097856	GRMZM2G092281	GRMZM2G550865	GRMZM2G472991	GRMZM2G389301	GRMZM2G413113	GRMZM2G107896	GRMZM2G308426	GRMZM2G134866	GRMZM2G157252	GRMZM2G173852	GRMZM5G815545	GRMZM2G333980	GRMZM5G877019	GRMZM5G803927	GRMZM5G873455	GRMZM5G858914	AF546187.1_FG007	GRMZM2G138689	GRMZM2G145974	GRMZM2G088511	GRMZM2G030265	AC216353.2_FG005	GRMZM2G072855	GRMZM2G441753	GRMZM2G063756	GRMZM2G101964	GRMZM5G817178	GRMZM5G830266	GRMZM2G078033	GRMZM2G005633	GRMZM2G175818	GRMZM2G532230	GRMZM2G330019	GRMZM2G577416	AC149475.2_FG007	AC197705.4_FG001	AC206941.2_FG002	AC210517.3_FG003	GRMZM2G014844	AC207342.3_FG007	AC189750.4_FG004	AC191048.2_FG006	AC185466.3_FG001	AC208077.3_FG004	GRMZM2G035770	AC208113.3_FG005	AC187262.4_FG007	AC208897.3_FG004	AC190636.3_FG005	AC185226.4_FG001	AC205154.3_FG005	AC213432.2_FG004
GRMZM2G164956	GRMZM2G041876	GRMZM2G142088	GRMZM2G458665	GRMZM2G148783	GRMZM2G077596	GRMZM2G053722	GRMZM2G115598	GRMZM2G059015	GRMZM2G117346	GRMZM2G054418	GRMZM2G059590	GRMZM2G001696	GRMZM2G114898	GRMZM2G072573	GRMZM2G092877	GRMZM2G165917		GRMZM2G393550	GRMZM5G806257	GRMZM2G029186	GRMZM2G144146	GRMZM2G703415	GRMZM5G832672	GRMZM2G175076	GRMZM2G447785	GRMZM2G455793	GRMZM2G171181	GRMZM2G016232	GRMZM2G080603	GRMZM5G829388	GRMZM2G346897	GRMZM2G069911	AC190609.3_FG002	GRMZM2G142584	GRMZM5G858553	GRMZM2G050730	GRMZM2G149751	GRMZM2G473480	GRMZM2G006704	GRMZM2G092578	GRMZM2G088064	GRMZM2G147500	GRMZM2G075042	GRMZM2G054187	GRMZM2G067919	GRMZM2G017187	GRMZM5G816074	AC149818.2_FG004	AC204711.3_FG003	AC208204.3_FG006	AC226235.2_FG003	GRMZM2G017555	AC211175.3_FG005	AC194022.3_FG013	AC194039.4_FG009	AC188838.3_FG005	AC217401.3_FG003	GRMZM2G042627	AC210204.3_FG002	AC194914.3_FG002	AC215260.3_FG001	AC194341.4_FG002	AC187157.4_FG002	AC211164.5_FG004	AC231488.1_FG005
GRMZM2G158091	GRMZM5G809787	GRMZM2G125239	GRMZM2G589579	GRMZM2G445905	GRMZM2G126555	GRMZM2G139341	GRMZM2G379758	GRMZM2G026309	GRMZM2G410393	GRMZM2G031529	GRMZM2G081322	GRMZM2G017183	GRMZM2G366778	GRMZM2G022547	GRMZM2G084899	GRMZM2G175419		GRMZM2G491753	GRMZM2G703002	GRMZM2G316232	GRMZM2G344967	GRMZM2G008558	GRMZM2G000245	GRMZM2G339327	GRMZM2G099454	GRMZM2G153292	GRMZM5G871894	GRMZM5G831563	GRMZM2G136981	GRMZM2G175243	GRMZM2G059620	GRMZM2G101605	GRMZM5G815894	GRMZM5G876285	GRMZM2G070167	GRMZM2G421279	GRMZM2G108849	GRMZM2G085661	GRMZM2G116204	GRMZM2G104325	GRMZM2G015605	GRMZM5G877416	GRMZM2G122357	GRMZM2G091715	GRMZM2G368890	GRMZM2G144581	GRMZM2G590209	AC149818.2_FG006	AC209206.3_FG014	AC209784.3_FG007	GRMZM2G003246	GRMZM2G025281	GRMZM2G000397	AC195220.3_FG002	AC195340.3_FG002	AC191009.3_FG004	AC234156.1_FG005	GRMZM2G047028	AC210616.4_FG005	AC196475.3_FG004	AC226221.2_FG011	AC196426.3_FG007	AC190609.3_FG002	AC212068.4_FG005	GRMZM2G001994
GRMZM2G099186	GRMZM2G158676	GRMZM2G474656	GRMZM2G089743	GRMZM2G112165	GRMZM2G012923	GRMZM2G035996	GRMZM2G301904	GRMZM2G385925	GRMZM2G373522	GRMZM2G147623	GRMZM2G044143	GRMZM2G077222	GRMZM2G329740	GRMZM5G820122	GRMZM2G137211	GRMZM2G048257		GRMZM2G153722	GRMZM2G054354	GRMZM2G057436	GRMZM2G468682	GRMZM2G468479	GRMZM2G080746	GRMZM2G479608	GRMZM2G700208	GRMZM2G326111	GRMZM2G168330	GRMZM2G149178	GRMZM5G895376	GRMZM2G000326	GRMZM2G044625	GRMZM5G833438	GRMZM2G394827	GRMZM2G080056	GRMZM2G046284	GRMZM2G181153	GRMZM2G012160	GRMZM5G855076	GRMZM2G171803	GRMZM2G056039	GRMZM2G144081	GRMZM2G156246	GRMZM2G056369	GRMZM2G047404	GRMZM2G114552	GRMZM2G131205	GRMZM2G519985	AC149818.2_FG007	AC210173.4_FG005	AC209810.3_FG002	GRMZM2G004828	GRMZM2G027851	GRMZM2G001289	AC198418.3_FG005	AC196779.3_FG003	AC197672.3_FG002	GRMZM2G000718	GRMZM2G047894	AC216264.3_FG001	AC199526.5_FG002	AC231745.1_FG003	AC197758.3_FG004	AC190628.4_FG007	AC217910.3_FG004	GRMZM2G004590
GRMZM2G083309	GRMZM2G162616	AC203535.4_FGP001	GRMZM2G086614	GRMZM2G069651	GRMZM2G128934	GRMZM2G093826	GRMZM2G003992	GRMZM2G099780	GRMZM2G088590	GRMZM2G040600	GRMZM2G098076	GRMZM2G083176	GRMZM2G093944	GRMZM2G009849	GRMZM2G360949	GRMZM2G009593		GRMZM2G057535	GRMZM2G054040	GRMZM2G008456	GRMZM2G118403	GRMZM2G143591	GRMZM2G325380	GRMZM2G436593	GRMZM2G123896	GRMZM2G037255	GRMZM5G815775	GRMZM2G152908	GRMZM2G138550	GRMZM2G438538	GRMZM2G044152	GRMZM2G170400	GRMZM5G801722	GRMZM2G073155	GRMZM5G896662	GRMZM2G401308	GRMZM2G412436	GRMZM2G305446	GRMZM2G319747	GRMZM2G102471	GRMZM2G083725	GRMZM5G818889	GRMZM2G054916	GRMZM2G070422	GRMZM2G026703	GRMZM5G835235	GRMZM2G050875	AC149828.2_FG002	AC233850.1_FG002	AC209987.4_FG010	GRMZM2G014558	GRMZM2G034385	GRMZM2G001592	AC199541.4_FG001	AC202439.3_FG006	AC203841.3_FG009	GRMZM2G000753	GRMZM2G049168	AC234160.1_FG003	AC208110.2_FG007	AC233960.1_FG002	AC205413.4_FG001	AC194970.5_FG005	AC233851.1_FG017	GRMZM2G007160
GRMZM2G157820	GRMZM2G130366	GRMZM2G111907	GRMZM2G469528	GRMZM2G079440	GRMZM2G175362	GRMZM2G006297	GRMZM2G019500	GRMZM2G344924	GRMZM2G171847	GRMZM2G102891	GRMZM2G047310	GRMZM2G060659	GRMZM2G300634	GRMZM2G092888	GRMZM2G121649	GRMZM2G028700		GRMZM5G884137	GRMZM2G073956	GRMZM2G127729	GRMZM2G431991	GRMZM2G142068	GRMZM2G477201	GRMZM2G104876	GRMZM2G442658	GRMZM2G574218	GRMZM2G150058	GRMZM5G834758	GRMZM2G043336	GRMZM2G095895	GRMZM2G100018	GRMZM2G028948	GRMZM2G441077	GRMZM2G109842	AC190623.3_FG001	GRMZM2G305035	GRMZM2G160430	GRMZM2G112524	GRMZM2G073622	GRMZM2G118355	GRMZM2G130987	GRMZM2G062914	GRMZM2G458364	GRMZM2G178958	GRMZM2G480954	GRMZM2G455642	GRMZM5G843162	AC149829.2_FG003	AC233883.1_FG006	AC213654.3_FG001	GRMZM2G020156	GRMZM2G035405	GRMZM2G002427	AC199541.4_FG007	AC203754.4_FG008	AC205521.3_FG003	GRMZM2G000823	GRMZM2G051753	AF546188.1_FG005	AC209208.3_FG002	GRMZM2G000489	AC207265.3_FG002	AC195860.3_FG006	AC234203.1_FG004	GRMZM2G007283
GRMZM2G097977	GRMZM2G362341	GRMZM2G356452	GRMZM2G070998	GRMZM2G160966	GRMZM2G027723	GRMZM5G866334	GRMZM2G070807	GRMZM2G439884	GRMZM2G073045	GRMZM2G096348	GRMZM2G146514	GRMZM2G019574	GRMZM2G378515	GRMZM5G843213	GRMZM5G849149	GRMZM2G170883		GRMZM2G088409	GRMZM2G133854	GRMZM2G436092	GRMZM2G375175	GRMZM2G128228	GRMZM2G467799	GRMZM2G156517	GRMZM2G068506	GRMZM2G057823	GRMZM2G163081	GRMZM2G162276	GRMZM2G174807	GRMZM5G850856	GRMZM2G166141	GRMZM2G365292	GRMZM5G840229	AC186512.3_FG001	GRMZM2G575461	GRMZM2G364069	AC215201.3_FG008	GRMZM2G042895	GRMZM2G082390	GRMZM2G304575	GRMZM5G882444	AC209835.4_FG004	GRMZM2G044627	GRMZM2G085474	AC206941.2_FG002	GRMZM2G146192	GRMZM2G581724	AC149829.2_FG004	AC233901.1_FG005	AC232238.2_FG005	GRMZM2G020840	GRMZM2G035531	GRMZM2G004188	AC206788.3_FG015	AC204359.3_FG005	AC207890.3_FG002	GRMZM2G003853	GRMZM2G060922	GRMZM2G002756	AC209819.3_FG005	GRMZM2G001079	AC208201.3_FG003	AC196144.3_FG002	GRMZM2G000423	GRMZM2G011806
