tissue pc bothsig selonly diffexponly nothingsig
GRoot 1 33 39 5182 4893
GRoot 2 75 73 5140 4859
GRoot 3 19 23 5196 4909
GRoot 4 29 41 5186 4891
GRoot 5 44 41 5171 4891
Kern 1 240 244 4501 4441
Kern 2 158 162 4583 4523
Kern 3 191 171 4550 4514
Kern 4 62 61 4679 4624
Kern 5 51 60 4690 4625
LMAD26 1 169 156 4331 4131
LMAD26 2 274 268 4226 4019
LMAD26 3 149 142 4351 4145
LMAD26 4 111 107 4389 4180
LMAD26 5 348 265 4152 4022
LMAN26 1 171 171 4080 3907
LMAN26 2 188 150 4063 3928
LMAN26 3 283 225 3968 3853
LMAN26 4 126 123 4125 3955
LMAN26 5 202 229 4049 3849
L3Tip 1 46 52 4233 4072
L3Tip 2 153 153 4126 3971
L3Tip 3 40 47 4239 4077
L3Tip 4 33 34 4246 4090
L3Tip 5 39 37 4240 4087
GShoot 1 51 52 4960 4826
GShoot 2 93 93 4918 4785
GShoot 3 29 28 4982 4850
GShoot 4 52 67 4959 4811
GShoot 5 73 74 4938 4804
L3Base 1 197 190 5633 5357
L3Base 2 175 172 5655 5375
L3Base 3 37 38 5793 5509
L3Base 4 32 37 5798 5510
L3Base 5 47 41 5783 5506
