V1,ZmRoot,ZmSAM,ZmPAN,,,
AC147602.5_FG004,0,0,4,,,
AC148152.3_FG005,2306,0,33,,,
AC148152.3_FG006,1425,0,0,,,
AC148167.6_FG001,67,0,0,,,
AC149475.2_FG002,900,3,32,,,
AC149475.2_FG003,583,3,5,,,
AC149475.2_FG005,78,0,1,,,
AC149475.2_FG007,286,655,2,,,
AC149810.2_FG008,3676,0,0,,,
AC149818.2_FG001,1431,0,1,,,
AC149818.2_FG004,4,115,5,,,
AC149818.2_FG005,900,0,0,,,
AC149818.2_FG006,591,0,0,,,
AC149818.2_FG007,592,0,0,,,
AC149818.2_FG008,213,0,0,,,
AC149818.2_FG009,2323,0,0,,,
AC149828.2_FG002,3,3,5,,,
AC149828.2_FG004,13,0,0,,,
AC149829.2_FG002,1440,0,2,,,
AC149829.2_FG003,3,9,1,,,
AC149829.2_FG004,594,0,0,,,
AC149829.2_FG006,911,6,345,,,
AC150739.3_FG001,107,0,0,,,
AC152495.1_FG002,84,2,0,,,
AC152495.1_FG003,41,0,0,,,
AC152495.1_FG010,915,2,0,,,
AC152495.1_FG012,3702,0,0,,,
AC152495.1_FG017,2338,0,0,,,
AC155376.2_FG004,2,188,33,,,
AC155376.2_FG005,2342,0,0,,,
AC155377.1_FG001,3722,431,1,,,
AC155377.1_FG002,1,0,1,,,
AC155390.2_FG002,23,0,0,,,
AC155434.2_FG001,416,0,11,,,
AC155434.2_FG004,1,9,1,,,
AC155434.2_FG005,1467,0,0,,,
AC155434.2_FG006,44,0,4,,,
AC155496.2_FG009,1471,6,1,,,
AC155610.2_FG007,9,0,2,,,
AC155610.2_FG009,1475,47,224,,,
AC155622.2_FG001,108,6,1,,,
AC155622.2_FG004,8,94,1,,,
AC155624.2_FG006,2362,0,3,,,
AC155624.2_FG011,6,187,4,,,
AC159612.1_FG007,4,328,645,,,
AC165171.2_FG002,223,0,0,,,
AC165178.2_FG004,3801,0,0,,,
AC166636.1_FG007,0,190,0,,,
AC166636.1_FG008,1491,0,0,,,
AC177838.2_FG015,1492,0,0,,,
AC177850.2_FG003,1494,0,0,,,
AC177850.2_FG005,1485,6,646,,,
AC177897.2_FG002,3809,0,20,,,
AC177899.2_FG009,613,0,0,,,
AC177908.3_FG002,942,11,1,,,
AC177924.2_FG003,616,0,0,,,
AC177936.6_FG008,1496,234,0,,,
AC177946.2_FG004,0,328,0,,,
AC182617.3_FG001,8,6,0,,,
AC182838.3_FG006,0,40,0,,,
AC183315.4_FG006,6,185,0,,,
AC183319.3_FG001,304,0,648,,,
