"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51"
"1" 43.31955 74.6059 35.29741 73.00147 102.683385 66.18265 54.951655 63.374905 33.69299 50.53948 54.55055 56.95719 48.93505 44.92398 NA 34.896305 126.74981 154.02508 38.50627 63.77601 52.14391 25.26974 35.29741 69.79261 37.70406 21.65978 55.35276 85.03468 NA 83.029145 63.3749 35.29741 36.90184 149.612905 31.68745 NA 34.4952 48.13284 37.70406 71.39704 NA 24.86863 61.77047 105.89224 96.666785 NA 140.78855 86.63911 87.040215 70.19372 94.66125
"2" 41.81352 62.72028 37.63217 96.171105 114.98719 58.53893 47.04021 70.03765 33.45082 48.08555 60.62961 62.72028 48.08555 41.81352 NA 54.35758 112.89651 96.1711 39.72285 89.89907 64.81096 45.99487 37.63217 54.35758 43.9042 31.36014 45.99487 96.1711 NA 79.44569 58.53893 39.72285 56.44826 78.400355 38.67751 NA 35.54149 48.08555 50.17623 91.98975 NA 33.45082 68.99231 100.35245 107.669825 NA 144.25665 114.98719 125.44057 58.53893 86.76306
"3" 46.14026 71.77373 36.74131 89.71716 108.08782 57.675315 44.43136 56.82087 37.59576 41.01356 54.68475 50.4125 52.97585 43.57691 NA 46.56748 114.49619 123.467905 37.59576 76.90043 57.24809 41.01356 35.88687 57.24809 35.03242 27.34237 47.421925 96.55276 NA 73.909855 60.66589 40.586335 52.1214 144.40191 35.03242 NA 34.17797 47.84915 44.858585 81.17267 NA 31.187395 58.10254 95.69831 100.825 NA 148.24693 99.1161 105.524475 60.66589 95.69831
"4" 43.34045 71.56214 35.78107 86.17694 105.83133 68.538385 57.95525 60.47505 36.28503 36.28503 54.42754 50.89983 48.38004 43.34045 NA 43.84441 122.96593 143.628235 36.28503 67.53047 54.42754 33.26128 35.27711 64.50672 37.29295 24.19002 52.41171 88.69674 NA 75.59381 63.4988 35.78107 39.30878 119.438215 33.26128 NA 34.26919 46.3642 43.34045 83.15319 NA 29.22961 62.49088 99.78383 102.30362 NA 134.05302 90.71257 109.863 65.51463 90.20861
"5" 46.12069 70.71839 36.89655 69.18104 104.540235 67.64368 50.73276 61.49426 36.89655 55.34483 52.27012 53.807475 43.04598 46.12069 NA 36.89655 122.98851 150.66093 36.89655 67.64368 55.34483 32.284485 30.74713 67.64368 36.89655 24.5977 52.27012 83.01725 NA 73.79311 67.64368 35.359195 35.359195 101.465525 27.67242 NA 36.89655 46.12069 36.89655 72.25575 NA 24.5977 64.56897 99.928165 93.77874 NA 144.5115 95.3161 98.39081 67.64368 87.629315
"6" 40.19476 70.19929 37.6472 79.540325 101.9022 61.70744 52.083345 59.44295 37.36414 46.98824 57.74458 54.91396 44.15762 43.5915 NA 44.44068 122.84876 136.15266 37.36414 78.40808 55.48009 37.08108 34.53352 58.87682 37.93026 24.90943 50.66804 89.44748 NA 81.80482 62.83969 39.34557 44.723745 122.84876 31.98597 NA 33.9674 46.42211 40.76088 78.69114 NA 28.023105 59.44295 100.20383 94.25953 NA 146.059815 104.16669 106.431185 64.254995 97.65627
"7" 45.98169 60.28711 35.25263 85.83249 94.00701 59.7762 49.558045 57.22166 33.71991 38.82898 63.35255 58.24348 42.91624 41.89443 NA 57.73257 106.2688 101.15972 35.76354 82.76704 57.22166 44.448965 40.87261 51.09077 40.87261 29.63265 50.06895 106.2688 NA 79.19069 57.22166 40.87261 54.66712 91.452475 34.74172 NA 32.69809 44.95988 49.047135 88.89794 NA 35.76354 60.28711 92.47429 90.43066 NA 124.66147 103.20335 107.80152 59.26529 95.02883
"8" 38.11742 62.37395 38.11742 103.090285 113.485945 59.775035 34.6522 65.83917 32.91959 51.97829 58.90873 74.50222 48.51307 39.85002 NA 64.10656 107.42181 78.833745 38.11742 112.61964 71.037 49.379375 48.51307 48.51307 48.51307 31.18698 43.31524 105.6892 NA 86.63049 62.37395 47.646765 74.50222 88.3631 41.58263 NA 32.91959 46.78046 56.309815 108.288115 NA 36.38481 69.30439 92.694625 115.218555 NA 131.67834 149.00444 159.4001 54.577205 99.625065
"9" 41.48292 67.26961 34.75596 100.06354 106.51021 62.78497 48.20989 63.34555 35.87712 44.28583 54.93685 54.37627 49.89163 42.04351 NA 51.57337 114.91891 111.83572 34.19538 87.1702 62.22439 41.48292 34.75596 55.49743 41.48292 27.46842 45.96757 112.67659 NA 81.5644 59.42149 42.88438 55.77772 103.70731 37.27857 NA 33.07422 45.96757 50.17192 97.82122 NA 33.91509 68.95135 99.50296 106.22992 NA 148.83401 104.82847 132.85748 59.42149 103.70731
"10" 44.79491 67.19236 33.59618 77.27122 116.46676 61.593 45.91478 62.71287 31.35644 44.79491 55.99364 49.2744 47.03465 44.79491 NA 41.43529 118.70651 133.264855 35.83593 73.9116 55.99364 33.59618 33.59618 62.71287 33.59618 24.6372 49.2744 105.26804 NA 73.9116 62.71287 36.9558 44.79491 114.22702 34.716055 NA 33.59618 47.03465 38.07567 82.87058 NA 31.35644 64.95262 94.06931 99.668675 NA 147.8232 114.22702 117.586635 64.95262 97.428925
"11" 55.2362 78.82666 35.96107 67.31912 90.3342 59.263845 55.52389 58.97615 32.22112 51.20856 51.78394 47.46861 46.60554 45.45479 NA 36.536445 120.82919 183.545295 35.098 59.26384 48.90705 28.481165 27.6181 74.22365 30.49499 21.86433 50.63318 113.34929 NA 81.70355 58.68846 33.94725 40.85177 107.30783 32.79649 NA 35.67338 48.33168 37.6872 74.799025 NA 28.481165 62.7161 96.375665 92.9234 NA 126.58296 87.45732 89.758825 73.64827 96.087975
"12" 47.42005 72.71074 34.458565 86.62062 96.736895 61.013795 56.587925 59.43313 34.14243 48.68458 57.53632 47.103915 41.72964 46.15551 NA 42.994175 128.98253 161.228165 36.6715 68.91714 53.11045 32.8779 30.34883 67.968735 37.30377 24.974555 52.47819 89.78196 NA 76.504345 64.49127 37.93604 47.42005 125.821195 30.9811 NA 33.51017 48.68458 42.045775 82.82702 NA 30.9811 65.12353 105.272505 85.67222 NA 128.6664 94.8401 105.27251 68.917135 103.05957
"13" 39.17772 65.5801 29.38329 83.89142 112.42302 53.230595 47.694615 66.43179 39.17772 46.84293 58.76658 41.73279 47.69462 41.73279 NA 38.751875 143.08385 148.193985 34.06758 70.69023 54.50813 28.10576 28.95745 67.28348 36.62265 22.99562 53.230595 92.83416 NA 75.374525 73.2453 37.47434 42.158635 176.725585 31.51251 NA 33.21589 45.99124 41.73279 80.484665 NA 26.40238 66.43179 117.959005 97.09261 NA 144.78723 91.98247 92.83416 68.561015 97.9443
"14" 43.28815 62.52732 33.66856 96.195885 119.04241 61.324875 51.70529 64.93222 38.47835 40.88325 57.71753 54.110185 43.28815 45.69305 NA 48.09794 127.45955 134.67424 36.07346 96.19588 67.33712 45.69305 40.88325 57.71753 40.88325 26.45387 50.50284 105.81547 NA 79.361605 67.33712 38.47835 58.91998 88.981195 36.07346 NA 31.26366 46.895495 50.50284 86.5763 NA 31.26366 67.33712 103.410575 104.613025 NA 134.67424 127.45955 133.47179 62.52732 103.41058
"15" 42.22925 71.41712 32.91398 83.83749 110.54128 61.79134 50.30249 63.9649 36.64009 46.57638 55.27064 57.133695 45.95537 43.47129 NA 38.81365 134.13999 154.63359 37.26111 73.28018 55.27064 29.808885 30.4299 66.75948 37.26111 22.35666 53.40759 80.7324 NA 76.38527 70.7961 38.81365 38.192635 102.46804 28.56685 NA 32.91398 47.1974 43.47129 68.62254 NA 27.0143 62.10185 113.33587 102.468045 NA 147.18137 99.98397 122.030125 70.48559 88.18462
"16" 44.24903 68.83182 35.64505 89.72719 104.067155 67.19297 51.62386 62.68612 32.77706 51.62386 56.54042 52.44329 49.98501 43.4296 NA 43.4296 128.64995 156.920155 36.87419 82.76207 58.9987 31.547915 38.51304 64.73469 37.69361 23.76337 53.26272 82.76207 NA 74.567805 69.65124 42.20046 48.346155 125.37224 29.089635 NA 34.41591 47.52673 44.24903 84.810635 NA 26.631355 62.27641 111.851705 101.608875 NA 154.05216 96.69232 105.296295 68.83182 98.740885
"17" 44.93142 64.78484 33.9598 102.663075 113.112245 59.821485 51.200925 62.43378 34.48225 45.97634 55.90305 50.15601 42.84159 42.84159 NA 43.88651 136.36164 141.586225 36.57209 86.72809 61.12763 34.743485 33.9598 63.73992 39.18438 23.51063 50.417235 93.52005 NA 77.58507 78.36876 39.70684 49.37232 153.34154 30.04136 NA 32.39242 46.4988 45.71511 81.24228 NA 27.429065 65.3073 117.55314 111.8061 NA 166.403 114.41839 119.120515 64.52361 99.78955
"18" 37.18665 60.4283 33.7004 131.315355 142.93618 55.77997 46.48331 72.04913 41.83498 48.80748 58.10414 63.91455 41.83498 39.51081 NA 46.48331 132.47744 104.58745 37.18665 97.61495 69.72497 38.34873 34.86248 58.10414 46.48331 27.88999 44.15915 88.31829 NA 82.507875 65.07663 42.997065 52.293725 109.23578 32.53832 NA 32.53832 46.48331 51.13164 96.45287 NA 30.21415 72.04913 122.01869 123.18077 NA 182.446995 116.20828 149.908675 56.942055 102.26328
"19" 37.29089 67.47875 31.96362 69.69845 110.984785 53.71664 47.94543 69.69845 33.73938 46.16967 58.59997 55.936335 48.83331 39.95452 NA 36.84695 147.3878 141.17265 35.51513 75.913595 60.37572 34.183315 26.63635 62.59542 39.95452 22.19696 50.165125 79.90905 NA 84.34844 67.47875 33.29544 40.8424 116.312055 31.96362 NA 31.96362 46.16967 44.39392 79.90905 NA 25.30453 70.14239 118.531755 118.975695 NA 164.701425 94.1151 110.09691 63.4833 98.99843
"20" 38.58701 62.33287 35.618785 81.32955 94.98342 66.785215 48.975825 62.03605 31.46326 45.11712 55.20911 46.89806 48.08536 43.33619 NA 45.413945 104.48176 106.856345 36.80608 74.2058 53.42817 40.07113 33.83784 55.505935 36.21243 26.71409 47.194885 97.35801 NA 81.9232 63.52016 40.07113 48.38218 96.76436 34.134665 NA 33.2442 47.49171 41.258425 91.42154 NA 31.166435 61.73922 88.45331 94.389775 NA 127.63397 99.73259 102.99765 60.255105 86.375545
"21" 42.26102 75.91332 33.65229 93.522075 103.696025 63.39153 55.17411 59.86978 34.43491 46.17408 60.26109 53.21758 46.17408 45.39147 NA 38.73927 127.56568 150.652715 36.00013 69.261115 54.00019 31.30446 30.52185 67.30459 36.00013 23.47835 53.21758 97.04383 NA 79.435065 71.21765 40.304495 41.47841 120.522175 30.913155 NA 33.65229 46.95669 43.04363 78.65246 NA 26.60879 62.60892 111.52214 95.86991 NA 133.043955 79.04376 99.000355 68.86981 91.565545
"22" 40.04501 54.76743 36.511625 113.3627 113.06825 63.01199 38.86721 65.95648 37.10052 48.28957 58.88971 55.945225 46.52287 39.45611 NA 48.87846 121.90171 108.35707 36.51162 110.71266 69.48986 43.28394 37.68942 53.29519 45.34508 27.972615 45.63953 104.82369 NA 85.390085 68.90096 39.16166 64.778685 98.05137 32.094895 NA 31.21155 44.75618 52.706295 94.22354 NA 33.56714 68.31207 111.890455 118.66277 NA 175.1969 140.74642 145.75204 56.828575 100.70141
"23" 42.75031 64.87547 33.750245 93.750685 95.8132 64.68797 46.312835 58.687925 34.50025 46.87534 57.37542 54.7504 45.37533 42.37531 NA 51.93788 110.2508 120.188375 35.62526 84.18811 60.00044 42.937815 39.37529 55.1254 37.87528 27.1877 48.37535 103.87576 NA 73.688035 58.87543 41.4378 53.62539 83.063105 35.062755 NA 32.62524 46.50034 50.250365 91.313165 NA 33.750245 62.62546 91.12566 94.87569 NA 125.813415 121.12588 126.563425 62.25045 93.37568
"24" 37.09813 69.24984 35.03712 83.264695 102.22596 63.479025 45.34216 66.36443 27.2053 47.81537 61.83022 55.647195 46.99097 42.04455 NA 51.93738 122.01163 113.3554 36.27373 86.1501 61.00581 41.22014 34.62492 56.0594 42.86895 26.38089 47.40317 84.9135 NA 78.730475 66.77663 40.807945 52.349585 112.530995 36.27373 NA 32.97612 46.99097 44.105555 97.691745 NA 30.50291 63.47902 105.93577 99.75275 NA 145.50711 102.22596 110.88219 61.418015 95.63074
"25" 37.76802 61.37303 35.0703 116.676205 134.88579 64.74518 45.86117 69.128965 37.09359 44.51231 58.00089 56.65203 45.86117 40.46574 NA 49.570525 137.5835 111.280775 35.0703 94.42005 68.79175 49.90774 33.04702 57.32646 44.51231 24.95387 45.86117 101.16434 NA 73.849965 65.41961 40.46574 58.67532 84.64083 34.39588 NA 32.37259 45.86117 50.919385 95.431695 NA 30.686515 68.11732 120.04835 118.025065 NA 183.444675 146.35108 144.665005 55.640385 103.86206
"26" 36.66117 74.21651 31.29612 94.78253 112.666025 58.121365 46.497095 61.698065 32.19029 46.49709 51.86214 47.391265 43.81457 42.02622 NA 40.684955 133.23205 151.11555 37.55534 68.85146 53.65049 35.319905 27.71942 63.48641 36.66117 23.24855 50.96797 92.99418 NA 81.369905 70.63981 35.319905 38.44952 134.126225 28.61359 NA 33.08447 46.49709 41.13204 77.79321 NA 27.71942 64.38059 113.560205 109.08933 NA 152.45681 99.25341 101.93593 68.85146 97.46506
"27" 36.17472 59.58188 34.04679 95.756605 115.971885 57.45396 43.62245 72.34943 36.17472 46.81434 59.58188 53.19811 46.81434 42.55849 NA 44.68641 134.05924 107.460185 36.17472 97.88453 65.96566 36.174715 36.17472 57.45396 42.55849 25.53509 48.94226 76.60528 NA 86.18094 65.96566 41.494525 52.13415 89.37283 34.04679 NA 31.91887 46.81434 46.81434 90.43679 NA 29.79094 72.34943 108.52415 105.33226 NA 170.23396 125.54754 141.506975 53.19811 89.37283
"28" 41.4311 76.72425 32.99143 82.09495 106.64671 62.913885 51.78887 61.3794 35.29316 55.24146 52.93973 46.80179 53.70698 44.50007 NA 32.99143 142.70711 169.56059 36.82764 61.76302 52.93973 25.319 30.6897 71.737175 36.0604 20.71555 53.70698 79.79322 NA 80.944085 64.44837 31.840565 37.978505 140.02176 28.00435 NA 33.75867 47.56904 39.12937 63.68113 NA 24.16814 68.28458 110.48292 93.603585 NA 145.77608 79.02598 111.25016 67.51734 100.89239
"29" 44.72778 74.87042 36.46287 80.218305 131.26632 55.90973 50.07567 60.771445 35.00435 45.70013 57.36824 51.53419 51.53419 44.72778 NA 45.70013 127.37695 134.18335 36.94904 79.73214 62.22996 40.352235 34.03201 60.28527 38.89372 24.30858 52.50653 99.179 NA 74.384245 63.2023 38.89372 48.61716 105.499225 33.54584 NA 34.03201 47.64481 44.24161 79.73214 NA 32.08732 64.17465 98.20665 101.609855 NA 148.7685 114.73649 123.973745 64.17465 97.72048
"30" 44.0872 71.53772 35.76886 85.678895 98.57232 65.71488 61.971625 59.89204 34.93702 46.5827 57.39654 50.32595 41.5917 44.91903 NA 37.01661 137.2526 170.94187 35.76886 73.20139 54.90104 27.866435 26.61869 68.21038 34.93702 20.79585 54.90104 76.52872 NA 81.10381 71.53772 37.01661 37.848445 136.004845 27.866435 NA 34.10519 48.24637 38.26436 72.78547 NA 26.20277 59.89204 109.38616 114.377165 NA 158.46436 97.32457 114.377165 67.794465 96.07682
"31" 39.41531 68.08099 34.6377 114.065515 111.07951 60.31737 46.58173 63.30338 29.86008 48.97054 53.74815 55.539755 51.35934 40.60971 NA 45.38733 134.96757 134.96757 33.44329 90.17745 60.91457 38.22091 28.66568 63.30338 41.80412 23.88807 50.16494 94.35786 NA 72.8586 65.69218 38.22091 51.359345 124.815145 30.457285 NA 32.24889 46.58173 48.97054 83.01103 NA 28.06848 66.88659 111.67671 111.079505 NA 154.675225 126.60675 139.147985 65.09498 96.149465
"32" 48.46328 73.97026 35.70978 70.144215 86.72376 59.94142 49.738625 56.11537 38.26048 45.91258 58.66607 52.28932 40.81118 43.36188 NA 45.91258 102.02795 142.83913 35.70978 71.41956 53.56467 33.15908 33.15908 58.66607 30.60838 25.50699 51.01397 102.02795 NA 79.07166 61.21677 38.26048 52.28932 90.549805 35.70978 NA 33.15908 48.46328 43.36188 86.72376 NA 30.60838 58.66607 89.27446 79.07166 NA 114.78144 94.37585 86.72376 61.21677 91.82515
"33" 39.74372 63.12239 36.236925 91.176775 113.386505 59.615585 44.419455 65.46025 32.73013 51.43305 58.44665 68.96705 44.41946 42.08159 NA 60.78452 107.54184 93.51464 35.06799 107.54184 72.47385 57.27772 39.74372 51.43305 44.41946 32.73013 44.41946 93.51464 NA 78.318515 58.44665 45.58839 72.47385 73.642785 42.08159 NA 32.73013 46.75732 53.77092 114.55544 NA 35.06799 65.46025 101.697175 95.85251 NA 148.4545 168.32636 146.116635 53.77092 95.85251
"34" 45.84838 72.98314 36.02373 84.67915 95.90733 60.35144 54.26951 59.8836 35.55589 52.39815 58.01224 47.71974 47.71974 44.9127 NA 43.97702 116.96016 144.562755 37.42725 72.98314 54.26951 34.62021 30.87748 63.62633 35.55589 25.26339 52.39815 86.08268 NA 73.91882 60.81928 37.42725 43.97702 111.81391 34.15237 NA 35.55589 49.59111 39.76645 80.00075 NA 28.07044 60.81928 99.18221 91.696765 NA 136.141625 89.8254 104.7963 68.77257 90.76108
