"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51"
"1" 51.015245 74.27219 44.26322 59.267705 65.2695 57.767255 71.27129 54.39125 44.263225 46.88901 53.26591 57.76726 51.76547 51.390355 NA 57.01703 93.77802 133.539895 44.26322 69.02062 58.51748 NA 42.76278 66.76995 33.76009 66.01972 62.2686 68.2704 NA 103.15582 69.77085 43.13789 51.01524 NA 33.76009 NA 39.76188 56.26681 45.76367 73.52197 NA 105.03138 60.01793 79.523755 69.77085 NA 81.77443 70.52107 53.26591 69.02062 72.021515
"2" 67.065735 88.67269 48.26488 54.297985 51.07098 63.1372 78.00951 56.96378 45.318475 43.915425 56.68317 52.19342 55.84134 60.752015 NA 52.19342 84.74415 140.02427 48.124575 51.6322 46.58122 NA 44.61695 67.06573 30.86707 43.77512 66.2239 72.95854 NA 104.807745 64.54025 45.599085 48.54549 NA 37.60171 NA 43.49451 59.76988 37.88232 69.03 NA 64.54025 53.87707 71.134575 62.85659 NA 63.97903 41.53025 39.84659 72.95854 63.97903
"3" 52.956075 75.18954 44.46693 71.95558 62.2537 56.998525 59.01975 54.9773 53.764565 42.04146 59.01975 57.40277 51.74334 53.36032 NA 56.59428 88.529615 137.44324 48.50938 65.48766 52.55183 NA 40.42448 65.48766 32.33959 59.01975 67.10464 73.57256 NA 103.890925 64.67917 48.50938 49.31787 NA 35.57355 NA 40.42448 56.59428 42.84995 75.18954 NA 88.93386 58.21126 81.253215 73.57256 NA 74.38105 59.82824 55.78579 67.91313 71.551335
"4" 60.598975 80.96627 48.27802 66.633725 63.3649 66.63373 73.92572 58.58739 60.598975 41.488925 58.33594 53.30698 60.85042 58.33594 NA 52.30119 89.26405 122.958085 49.28381 61.85622 51.79829 NA 40.23168 63.8678 35.70562 38.723 66.88518 72.41703 NA 100.83066 71.91414 45.0092 44.25485 NA 40.73458 NA 42.74617 59.34173 39.72879 73.171375 NA 60.598975 53.306985 73.92572 70.40545 NA 76.9431 62.86201 52.80409 68.89676 62.862005
"5" 57.152635 85.72895 45.9706 68.955895 60.87998 57.15263 64.60733 55.91019 55.288965 42.864475 59.63753 59.63753 55.91019 59.63753 NA 63.36488 85.72895 130.4571 45.9706 63.36488 52.18284 NA 43.4857 64.60733 36.03101 58.39508 68.33467 89.4563 NA 99.395885 73.30447 51.561615 48.45549 NA 37.27346 NA 42.24325 59.63753 43.4857 75.78936 NA 96.289765 54.66774 78.27426 69.57712 NA 77.03181 58.39508 53.42529 73.30447 67.713445
"6" 55.19461 79.29366 48.71637 62.709365 60.11807 64.7824 72.03803 58.04503 41.20161 41.719865 60.63633 58.56329 51.82592 58.56329 NA 53.3807 94.06405 154.95951 47.42072 57.52677 51.30766 NA 35.75989 69.965 35.24163 48.19811 66.33718 79.29366 NA 95.87796 73.07455 42.49726 44.05203 NA 33.68685 NA 42.49726 58.04503 37.31466 71.26064 NA 76.70237 58.82242 81.62583 70.48325 NA 75.14759 57.00851 44.57029 68.41022 69.18761
"7" 53.90033 84.54954 52.84346 51.78659 69.75337 49.67285 66.58276 53.90033 57.599375 44.38851 62.35528 62.35528 56.01407 58.12781 NA 49.67285 90.89075 138.978295 47.55911 63.41215 49.67285 NA 38.04729 63.940585 34.87668 42.27477 62.883715 58.12781 NA 99.874135 73.98084 42.27477 35.93355 NA 36.99042 NA 41.2179 58.12781 34.87668 56.01407 NA 64.997455 43.33164 71.33867 72.92397 NA 75.03771 59.18467 45.44538 69.75337 60.769975
"8" 51.797615 79.14419 44.39796 60.484175 69.49246 51.475895 62.41452 57.588655 42.789335 48.25865 59.19728 63.70142 54.69314 55.65831 NA 63.05797 82.039705 106.16903 46.97175 70.1359 56.62348 NA 45.04141 59.519005 39.25037 51.47589 61.12762 65.63176 NA 105.52558 67.56211 51.154165 50.83244 NA 41.18071 NA 41.18071 56.62348 45.68486 73.35315 NA 76.248665 56.62348 74.31832 68.84901 NA 77.85729 66.27521 59.84073 65.63176 72.06625
"9" 49.77917 71.60018 45.00583 73.986855 63.4173 60.348725 56.59824 60.00777 50.46108 39.550575 59.32587 57.28015 52.5068 53.18871 NA 60.00777 89.32975 132.28986 45.68774 67.50874 54.55252 NA 42.96011 62.7354 32.04961 64.440165 59.32587 72.964 NA 102.96788 66.82684 47.05155 42.96011 NA 37.50486 NA 40.91439 56.59824 44.32392 81.487825 NA 108.08218 57.6211 76.71448 75.00971 NA 75.69162 66.82684 48.41536 66.14493 66.14493
"10" 51.36106 81.50776 44.66179 77.041585 75.92504 70.90059 65.87614 59.17687 52.4776 44.66179 61.40996 56.94378 54.71069 55.82724 NA 56.94378 97.69766 132.86882 45.77833 72.57541 59.17687 NA 39.07906 65.87614 35.72943 43.54524 62.5265 87.09049 NA 96.581115 69.22577 54.15242 51.36106 NA 35.72943 NA 41.31215 56.94378 46.89488 84.8574 NA 64.75959 59.17687 80.94949 80.39122 NA 90.44012 66.99268 65.87614 69.22577 80.391215
