"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51"
"1" 63.015055 72.400275 53.18292 NA 61.227395 52.512545 61.003935 55.86441 33.07173 49.6076 64.80272 85.80773 43.7977 58.5459 NA 64.80272 86.03119 111.058445 42.90387 58.99282 71.05953 60.33356 50.27797 59.66319 40.66929 31.28407 51.39526 53.629835 NA 99.21519 70.165695 77.31634 55.86441 NA 46.47919 NA 40.66929 54.97058 81.7855 78.21017 NA 33.742105 52.736 81.33858 78.43363 88.04231 63.46197 64.579255 49.6076 64.3558 54.07675
"2" 51.683895 71.288125 53.4661 NA 52.87203 48.11949 65.34745 55.84237 35.64406 42.77288 64.15932 73.6644 46.33728 59.40677 NA 60.59491 87.92203 127.1305 41.58474 57.0305 64.15932 62.971185 43.366945 60.00084 36.8322 29.70339 49.90169 54.65423 NA 109.30847 68.31779 87.92203 48.71356 NA 43.366945 NA 41.58474 53.4661 86.73389 73.6644 NA 34.45593 52.27796 80.79321 72.47626 87.32796 64.753385 53.4661 46.33728 67.72372 55.84237
"3" 68.99773 83.1109 54.36185 NA 61.67979 50.18017 71.61128 62.72521 41.81681 50.18017 72.13399 84.67903 58.54353 65.86147 NA 61.67979 82.58819 107.15556 42.86223 51.7483 70.04315 76.31567 44.95307 59.58895 42.86223 33.45344 51.22559 56.45269 NA 96.17865 61.15708 95.13323 59.58895 NA 52.27101 NA 44.95307 56.45269 85.72445 96.70136 NA 39.72596 54.36185 80.49735 74.74754 66.90689 65.33876 50.70288 45.99849 68.99773 50.18017
"4" 67.032075 69.686815 51.76735 NA 49.11261 51.103665 61.05892 58.40419 34.51156 39.82104 73.00523 67.69576 47.78524 61.05892 NA 57.07682 84.95154 120.126795 42.47577 59.73155 63.71366 58.40419 43.80314 58.40419 41.1484 30.52946 50.43998 55.74945 NA 103.53469 66.36839 88.93365 49.11261 NA 45.13051 NA 43.80314 54.42208 76.98734 83.62418 NA 31.85683 54.42208 78.978385 66.36839 79.64207 68.359445 53.094715 49.11261 67.69576 53.09471
"5" 56.385905 76.851905 53.46219 NA 53.04452 46.77942 63.06868 59.30962 36.75526 48.45011 66.82774 83.53468 48.45011 59.30962 NA 60.98031 86.87606 109.430425 45.10873 51.7915 61.81566 67.245415 49.703135 60.14497 43.43803 31.74318 54.29754 55.132885 NA 96.90022 64.3217 81.86398 48.45011 NA 45.10873 NA 44.27338 55.96823 75.18121 81.02864 NA 35.91991 55.96823 83.534675 71.00447 70.5868 57.221255 46.36175 49.28546 65.99239 55.13289
"6" 62.603935 78.41627 50.98671 NA 55.82722 50.018605 67.121745 55.50452 34.20627 39.36948 65.83094 81.96598 49.05051 57.44072 NA 57.44072 91.3243 122.30356 41.30569 57.44072 67.76715 55.82722 42.91919 58.08612 39.04678 31.62467 50.98671 53.568315 NA 97.45561 62.603935 83.25678 49.69591 NA 44.532695 NA 38.72408 52.92291 89.71079 67.767145 NA 36.14248 56.79532 84.87028 80.02977 69.38065 65.18554 54.85912 56.14992 67.12174 52.92291
"7" 59.61542 70.63676 53.10281 NA 54.60572 50.59796 63.12221 54.10475 31.06014 44.08536 66.12803 68.13191 51.09893 57.11057 NA 49.09506 95.68526 146.28323 41.07954 48.09312 59.11445 46.59021 38.57469 61.6193 41.58051 29.05626 53.10281 45.0873 NA 91.17653 63.62318 82.15907 38.07372 NA 39.07566 NA 42.08148 53.10281 72.13967 65.12609 NA 34.06596 53.10281 84.16295 69.13385 45.58827 53.60378 39.07566 41.07954 69.13385 39.07566
"8" 66.23576 73.30091 51.81109 NA 64.469475 50.0448 56.226805 57.10995 32.38193 42.97965 68.88519 77.12787 48.86727 60.05376 NA 54.7549 85.9593 111.27608 43.56841 55.04928 69.47396 68.00205 47.98413 55.93242 42.09651 32.38193 50.0448 50.63356 NA 105.97722 60.936905 88.31435 50.63356 NA 47.98413 NA 41.21336 54.16614 80.66044 88.31435 NA 39.44708 55.93242 82.721105 77.716625 78.894155 65.35262 53.28299 58.87623 64.76386 48.86727
"9" 60.15989 74.75751 50.42814 NA 56.621075 46.889325 63.69871 49.54344 38.04228 29.19524 63.69871 68.12223 48.65873 59.27519 NA 47.77403 81.39279 130.49388 38.04228 42.4658 53.08226 42.4658 40.254045 58.39048 34.50347 23.88702 53.96696 43.79286 NA 110.58803 64.14106 71.66105 38.92699 NA 35.38817 NA 38.04228 52.19755 58.39048 53.082255 NA 26.54113 40.6964 73.43045 61.48695 51.7552 52.639905 29.637595 32.73406 67.23752 40.6964
"10" 49.559135 78.372585 44.94898 NA 53.59302 57.6269 66.27094 54.16929 28.81345 42.64391 64.54213 78.37259 48.4066 58.77944 NA 55.32183 95.08439 130.81307 41.49137 55.898095 65.69467 52.44048 40.33883 62.23705 36.30495 29.96599 53.01675 59.93198 NA 99.11827 70.88109 80.67766 44.94898 NA 44.372715 NA 38.03376 53.01675 78.37259 74.91497 NA 38.03376 57.6269 87.01662 74.91497 73.186165 62.23705 46.10152 53.01675 67.99974 54.16929
"11" 69.30426 73.38098 52.54441 NA 57.527065 58.433005 70.66317 53.45034 35.33158 44.39096 67.94535 81.53442 53.45034 59.79191 NA 56.16816 87.87599 115.5071 40.76721 51.63847 68.85129 66.133475 38.0494 57.527065 39.861275 29.89595 49.82659 48.01472 NA 100.55912 60.24488 91.49974 48.92065 NA 46.20284 NA 42.57909 53.45034 82.44036 81.98739 NA 32.61377 53.45034 83.79927 75.645825 68.398325 67.03941 56.62113 53.45034 70.66317 48.01472
"12" 62.591675 76.26717 47.33824 NA 62.59168 48.3902 68.37746 54.70197 32.61079 37.87059 62.0657 73.63727 49.44216 56.80589 NA 56.80589 91.5206 124.13139 39.97452 58.90981 65.22158 64.16962 41.55246 58.90981 36.81863 27.35098 52.59805 53.12403 NA 89.41668 63.64364 79.94903 50.49412 NA 41.02648 NA 38.92255 52.59805 73.63727 74.16325 NA 32.08481 57.85785 79.42305 65.22158 66.27354 67.3255 58.90981 52.59805 69.42942 52.59805
"13" 62.633245 76.907795 46.61078 NA 59.72007 53.89372 69.91618 52.43713 34.37545 40.78444 64.08983 80.4036 48.94132 55.35031 NA 57.09821 83.89941 119.44014 43.69761 54.476355 62.92456 58.263485 44.86288 58.26348 40.78444 29.13174 53.01977 47.193415 NA 101.96109 62.92456 84.48205 48.94132 NA 43.69761 NA 41.94971 53.6024 77.49043 80.986235 NA 32.62755 50.68923 80.98624 66.711685 76.033845 68.16827 47.776055 51.27186 69.91618 48.35869
"14" 55.85302 78.83421 48.28959 NA 59.343835 45.67148 59.634735 60.50744 40.72616 46.54418 68.07087 82.61592 50.6168 61.67104 NA 64.58005 83.19773 102.979005 44.21697 56.72572 70.39808 69.816275 47.416885 58.18023 42.762465 31.41732 53.52581 59.05293 NA 110.54243 66.32546 100.06999 50.035 NA 49.45319 NA 43.05337 55.85302 83.19773 89.30665 NA 37.81715 55.27122 79.41601 75.6343 93.96107 66.32546 49.16229 51.1986 64.58005 54.68941
"15" 59.658165 78.5124 49.52753 NA 61.346605 47.839095 67.818955 56.8441 33.20596 44.46222 68.10036 87.236 54.59285 59.09535 NA 57.96973 89.768655 124.66306 41.08534 54.03004 68.66317 68.663175 51.21597 61.0652 39.67831 29.26627 51.77879 54.59285 NA 95.67819 63.31645 89.48725 52.3416 NA 43.33659 NA 41.64815 54.59285 85.54756 79.35662 NA 32.08034 55.15566 84.98475 69.22599 93.145535 64.442075 55.155665 54.03004 70.91443 51.21597
"16" 62.97096 73.76598 54.57483 NA 59.372615 57.273585 66.269435 53.97511 34.18423 44.97926 63.57068 73.16626 46.1787 57.57345 NA 64.17041 89.65865 112.748005 40.78119 53.975105 65.96958 61.77151 45.279115 57.87331 40.18147 31.18562 53.97511 44.679395 NA 93.55685 67.76875 83.96128 49.17732 NA 41.98064 NA 40.78119 53.37538 80.36294 75.26529 NA 38.68216 50.37677 80.362935 70.767365 76.464735 66.5693 56.673865 56.97372 67.76875 49.17732
"17" 70.98742 70.43713 55.02901 NA 59.43133 49.52611 66.03481 56.12959 37.41973 41.82205 64.93423 89.14699 52.82785 62.73307 NA 60.53191 77.04061 100.703085 44.02321 52.82785 66.03481 64.38394 51.72727 58.33075 40.72147 31.91682 51.72727 51.17698 NA 111.1586 62.73307 86.94583 51.72727 NA 50.62669 NA 46.22437 57.23017 70.43713 77.5909 NA 34.11799 55.02901 84.19438 64.38394 96.30076 62.18278 47.87524 49.52611 73.73887 52.82785
"18" 63.41715 71.65314 50.23956 NA 62.18175 50.23956 65.88794 55.18115 28.82598 46.12156 66.71154 79.88913 51.88676 59.29915 NA 58.47555 91.41952 122.3045 43.65076 58.47555 70.82954 61.76995 46.12156 60.94635 40.76817 28.82598 52.71036 48.59236 NA 97.18472 67.53514 102.12631 46.12156 NA 46.53336 NA 41.17997 55.18115 87.30153 70.82954 NA 35.82657 53.53395 87.71333 71.24134 74.947535 60.12275 55.59295 54.35755 68.35874 47.76876
