"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51"
"1" 35.01842 52.52763 38.35351 100.05263 91.71491 52.52763 40.854825 51.69386 40.02105 47.525 51.69386 54.195175 41.6886 39.18728 NA 63.36667 95.05 85.04474 43.35614 85.04474 65.03421 30.01579 41.6886 50.02632 36.68596 65.03421 46.69123 68.3693 NA 120.06316 60.03158 36.68596 50.02632 NA 31.68333 NA 30.01579 46.69123 50.02632 75.03947 39.18728 111.72544 58.36403 81.70965 83.37719 50.026315 121.7307 83.377195 80.0421 55.02895 65.86798
"2" 36.17254 53.42406 35.61604 71.23208 84.031595 50.64156 42.85055 53.42406 42.29405 49.52856 58.98907 52.31106 43.40705 42.29405 NA 60.10207 97.94411 87.9271 45.63305 76.79709 63.44107 31.16404 37.842045 51.19806 37.84204 57.87607 47.85906 69.56258 NA 112.41313 69.00608 38.95505 40.06805 NA 32.27704 NA 32.27704 47.85906 52.31106 65.66708 43.96355 110.18713 53.42406 86.2576 95.71811 61.77157 114.63913 65.66708 64.55407 55.650065 57.87607
"3" 38.20374 54.72427 36.13867 110.48108 134.745615 57.82187 34.073605 69.17974 47.49654 52.14294 56.78934 61.952005 50.59414 39.23627 NA 82.60268 105.31841 59.88694 43.36641 137.32695 84.66774 55.75681 45.94774 45.43147 49.56161 62.98454 41.30134 83.63521 NA 97.05815 66.08214 50.077875 76.40748 NA 40.26881 NA 33.04107 48.52907 66.08214 105.31841 44.39894 106.35095 69.17974 85.18401 133.19682 55.756805 193.08376 149.201085 144.55469 50.077875 84.151475
"4" 42.896725 64.17882 40.569 79.14279 89.45131 56.53057 41.566595 58.19323 53.20524 46.55459 60.18843 51.542575 49.21485 45.88952 NA 53.20524 105.08035 105.41288 45.22445 64.843885 57.8607 29.92795 34.250875 55.20044 38.5738 61.18603 53.20524 61.51856 NA 91.11397 65.17642 40.90153 35.91354 NA 32.58821 NA 35.24847 51.87511 47.88472 67.17162 38.90633 120.37686 55.8655 88.12118 99.09476 54.20284 117.71659 55.20044 61.18603 60.853495 56.8631
"5" 35.854005 55.32643 32.14497 81.59876 83.45328 49.762885 43.890245 53.16283 43.27207 40.79938 57.799125 51.308315 42.03573 40.18121 NA 50.69014 113.12556 103.543885 42.6539 63.05359 55.01735 26.58141 32.76314 53.16283 32.14497 43.89024 52.54466 63.362675 NA 107.562 63.67176 37.399435 35.23583 NA 27.81776 NA 29.67228 46.36293 46.98111 66.14445 37.399435 79.74424 51.30831 85.92597 110.03469 37.399435 113.12556 64.908105 65.52628 58.72638 63.362675
"6" 40.05199 55.86198 39.34932 93.45464 97.67064 64.29398 45.321985 60.42932 47.78132 51.645985 60.429315 51.29465 47.07865 46.37599 NA 56.21332 109.61597 95.56264 44.26799 76.59064 63.23998 35.83599 37.94399 54.80798 41.45732 64.64531 49.18665 75.88798 NA 96.26531 65.34798 42.51132 40.05199 NA 35.83599 NA 37.24132 51.99732 50.59199 78.69864 37.59266 120.85863 59.72665 86.427975 107.50797 48.132655 130.69596 68.86131 85.02264 60.78065 67.807315
"7" 42.730975 56.04972 37.73644 62.15414 76.027835 52.720035 38.84634 49.94529 53.27498 49.390345 58.82446 49.390345 47.7255 45.50571 NA 49.94529 92.12132 102.665325 46.61561 55.49477 49.94529 29.96718 39.40129 55.49477 34.40676 39.95624 51.05519 54.38488 NA 116.53902 65.48383 33.29686 29.96718 NA 29.96718 NA 34.40676 51.05519 43.28592 49.94529 48.8354 66.59373 47.7255 83.797105 84.35205 57.71456 98.78069 50.50024 53.27498 59.379405 54.38488
"8" 38.00201 61.69158 37.50848 69.09457 107.59011 45.405005 55.27565 57.24978 44.41794 43.430875 56.26272 64.652775 44.41794 42.44381 NA 62.18511 106.60305 92.78413 41.45674 87.84881 69.09457 38.49554 31.092555 52.31446 43.43087 73.53636 44.41794 78.471685 NA 89.82294 66.13337 40.46967 51.32739 NA 39.48261 NA 32.57315 47.872665 50.34033 73.04283 32.07962 143.12446 59.22391 92.2906 105.61598 43.43087 140.16326 95.745325 80.93935 57.24978 70.081635
"9" 37.47847 57.71684 38.97761 73.4578 107.93799 52.469855 38.97761 58.46641 47.97244 44.97416 59.96555 62.96383 46.4733 40.47675 NA 65.9621 104.93971 80.95349 40.47675 101.94143 74.95694 43.47502 43.47502 50.97072 43.47502 80.20392 43.47502 81.70306 NA 101.94143 61.46469 41.975885 53.96899 NA 35.97933 NA 34.48019 47.97244 52.46986 91.44746 38.22804 149.91387 62.96383 92.19703 98.94316 64.462965 133.42335 110.1867 95.94488 58.46641 79.45435
"10" 37.383845 62.836675 33.40684 85.9033 93.85731 49.31486 41.36085 55.67807 39.77005 46.13326 60.45047 56.47347 46.13326 41.36085 NA 57.26887 103.40212 95.44811 38.17925 89.08491 65.22288 38.17925 31.02064 52.49646 38.17925 89.08491 42.95165 74.76769 NA 92.26651 60.45047 41.36085 46.13326 NA 34.99764 NA 31.81604 46.13326 52.49646 76.35849 36.58844 176.57901 58.85967 85.9033 103.40212 52.49646 127.26415 93.85731 81.1309 57.26887 71.58609
