"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51"
"1" 61.115 62.3373 61.115 NA 84.33871 NA NA 63.5596 NA NA 69.05996 79.44951 50.1143 55.0035 NA 99.00631 67.22651 63.5596 57.4481 112.45161 95.33941 59.8927 85.56101 48.892 64.7819 133.23071 57.4481 116.11851 NA 84.94986 75.17146 77.00491 89.22791 NA 59.8927 NA 50.1143 61.115 70.89341 113.06276 NA 174.78891 69.67111 72.11571 86.78331 NA 80.06066 117.34081 95.33941 64.17075 91.67251
"2" 63.24226 80.6884 61.06149 NA 79.59802 NA NA 68.69418 NA NA 75.781675 76.32687 48.52208 56.69996 NA 92.68262 75.781675 74.1461 62.15188 115.58068 93.77301 57.79034 78.50764 53.42881 65.42303 131.93644 61.06149 136.297975 NA 116.67107 73.60091 73.05572 82.86917 NA 64.33265 NA 50.15766 63.24226 68.69418 133.57202 NA 183.18448 76.32687 79.59802 80.6884 NA 88.86628 152.653735 102.49608 69.78456 98.679735
"3" 62.49469 77.6961 59.1166 NA 98.809165 NA NA 73.473485 NA NA 72.62896 87.83037 54.04946 55.7385 NA 97.96464 88.674895 76.00705 54.04946 118.23319 91.20846 64.18373 74.31801 52.36041 59.1166 126.67842 60.80564 119.92224 NA 96.2756 76.00705 77.6961 91.20846 NA 64.18373 NA 48.98232 62.49469 79.38514 99.65369 NA 189.17311 77.6961 78.54062 87.83037 NA 104.72083 137.657215 84.452275 67.56182 96.275595
"4" 61.81482 58.17865 65.45099 NA 64.541945 NA NA 68.17811 NA NA 61.81482 85.4499 50.90632 57.26961 NA 105.44881 65.45099 67.26907 52.72441 98.17648 89.08607 72.72332 72.72332 49.08824 61.81482 149.0828 58.17865 110.90306 NA 98.17648 74.5414 78.17757 92.72223 NA 63.6329 NA 50.90632 61.81482 69.08715 119.993475 NA 233.62366 74.5414 73.63236 74.5414 NA 72.72332 129.08389 79.08661 61.81482 87.267985
"5" 62.11574 69.12881 60.11201 NA 68.126945 NA NA 73.13628 NA NA 78.14561 81.15121 54.100805 57.10641 NA 92.17175 66.12321 62.11574 57.10641 106.19788 97.682015 61.11388 71.13254 47.08774 69.12881 172.32109 58.10827 110.20535 NA 103.693215 70.63161 82.15308 87.16241 NA 66.12321 NA 52.09707 63.11761 68.12694 108.201615 NA 255.97697 78.14561 69.12881 85.15868 NA 83.655875 131.24455 86.160545 61.61481 90.168015
"6" 56.25535 63.51411 59.88473 NA 83.47569 NA NA 67.14349 NA NA 68.050835 92.54913 52.62598 54.44067 NA 105.25195 90.73444 87.10507 52.62598 116.14009 93.456475 56.25535 70.77287 54.44067 63.51411 136.10166 59.88473 146.082455 NA 96.17851 76.21693 68.95818 85.29038 NA 59.88473 NA 48.9966 61.69942 70.77287 101.62258 NA 205.967185 79.84631 74.40224 76.21693 NA 86.197725 131.564945 99.80789 70.77287 116.14009
"7" 61.73341 76.69908 59.8627 NA 88.858695 NA NA 69.21625 NA NA 78.56979 87.92334 50.50915 54.25057 NA 101.0183 76.69908 67.34554 59.8627 114.11327 87.92334 56.12128 74.82837 50.50915 65.47483 117.85469 57.99199 119.7254 NA 98.21224 80.4405 72.95766 84.18192 NA 57.99199 NA 48.63844 61.73341 69.21625 106.63043 NA 170.23455 76.69908 79.505145 84.18192 NA 101.0183 130.94965 100.082945 61.73341 87.92334
"8" 60.20268 73.58106 66.89187 NA 77.7618 NA NA 73.58106 NA NA 72.74491 83.61484 54.349645 60.20268 NA 98.66551 77.7618 71.90876 60.20268 107.02699 91.97632 71.90876 81.94254 53.5135 66.89187 165.55738 61.87498 120.40536 NA 86.95943 81.106395 85.28713 90.30402 NA 63.54728 NA 51.8412 65.21957 75.25335 91.14017 NA 244.15532 73.58106 70.23646 71.90876 NA 78.59795 123.74996 69.400315 70.23646 93.64862
"9" 64.8971 76.48587 62.57935 NA 84.01857 NA NA 71.85037 NA NA 76.48587 78.80363 50.990585 56.78497 NA 95.0279 83.43913 86.91577 57.94384 112.41106 85.75689 53.30834 79.9625 55.62609 60.2616 114.72881 64.8971 120.523195 NA 102.5606 79.9625 73.00924 71.85037 NA 60.2616 NA 47.51395 61.42047 69.53261 106.037235 NA 157.60725 73.00924 80.54194 76.48587 NA 89.812955 123.42039 79.383065 74.74756 83.43913
"10" 61.14322 62.56516 61.14322 NA 78.91741 NA NA 72.5187 NA NA 78.20644 82.47225 51.90064 54.03354 NA 103.80128 76.78451 63.98709 56.87741 116.5987 103.80128 59.72129 78.20644 49.76774 65.40903 166.36644 59.72129 137.92773 NA 101.66838 83.18322 81.05032 83.89419 NA 65.40903 NA 46.92387 62.56516 81.05032 105.223215 NA 263.76901 79.62838 71.807735 75.36257 NA 80.33935 137.216765 73.22967 63.98709 107.35612
"11" 63.29485 75.35101 55.75975 NA 85.90015 NA NA 70.07644 NA NA 76.10452 73.84399 55.75975 57.26677 NA 94.94227 78.36505 82.88611 55.75975 103.98439 91.92823 49.73167 72.33697 55.75975 63.29485 161.25116 60.28081 157.48361 NA 94.94227 73.84399 84.39313 81.37909 NA 55.75975 NA 46.71763 60.28081 63.29485 110.76598 NA 245.64429 76.85803 73.84399 69.32293 NA 83.63962 115.28704 85.14664 69.32293 98.70982
"12" 65.65433 69.84503 55.87602 NA 88.004735 NA NA 81.02023 NA NA 76.13108 83.81403 53.08222 54.47912 NA 94.98924 75.43263 65.65433 60.06672 120.13345 99.17994 64.25743 75.43263 51.68532 67.05123 136.89625 61.46362 126.4195 NA 90.10009 79.62333 75.43263 86.60783 NA 67.05123 NA 50.28842 62.86053 72.63883 117.33965 NA 199.75678 81.02023 77.52798 88.00474 NA 97.78304 136.896255 106.16444 65.65433 107.56134
"13" 65.51168 77.90578 65.51168 NA 90.299885 NA NA 68.16756 NA NA 77.90578 76.1352 52.232285 58.42934 NA 102.69399 72.59403 65.51168 58.42934 120.39985 97.38223 79.67637 76.1352 51.34699 67.28227 139.87629 60.19992 123.055725 NA 97.38223 73.47932 72.59403 88.5293 NA 61.97051 NA 53.11758 63.7411 67.28227 113.3175 NA 191.22329 81.44696 74.36461 84.98813 NA 98.267525 135.44983 101.808695 66.396975 94.72635
"14" 63.46139 66.2819 54.99987 NA 79.679305 NA NA 70.51266 NA NA 73.33316 71.92291 43.71785 54.99987 NA 102.94848 74.74342 69.1024 60.64088 111.41 93.07671 57.82038 71.92291 49.35886 66.2819 135.3843 60.64088 111.41 NA 110.70487 71.92291 74.74342 76.15367 NA 52.17937 NA 46.53835 60.64088 63.46139 104.35873 NA 197.435435 71.92291 69.1024 80.38443 NA 88.14082 95.897215 95.89721 69.1024 89.55107
"15" 58.87079 75.56549 54.47744 NA 83.91284 NA NA 68.97547 NA NA 80.398165 67.65747 57.99212 55.795445 NA 91.38152 99.28954 120.37758 59.74946 126.52826 93.13886 45.69076 79.08016 59.74946 59.74946 130.9216 72.05081 124.331585 NA 125.210255 87.866845 74.68682 69.41481 NA 57.11345 NA 46.56943 63.26413 63.26413 121.695585 NA 202.09374 74.68682 86.548845 85.23084 NA 104.122215 125.210255 87.42751 76.004825 106.758215
"16" 51.34265 66.01198 61.1222 NA 91.683305 NA NA 66.01198 NA NA 69.67931 80.68131 48.89776 56.23243 NA 114.90974 80.68131 70.90175 61.1222 127.13418 100.24041 63.56709 78.23642 51.34265 70.90175 173.58705 61.1222 146.693285 NA 99.017965 88.01597 80.68131 88.01597 NA 66.01198 NA 48.89776 63.56709 78.23642 119.79952 NA 255.490805 75.79153 68.45687 85.57108 NA 84.34864 138.136175 96.57308 63.56709 110.01996
"17" 60.33355 63.68541 61.45083 NA 83.79659 NA NA 67.595915 NA NA 73.741 78.21015 51.39524 55.86439 NA 97.20405 69.27185 67.03727 61.45083 113.96336 90.50032 58.09897 80.44473 50.27795 63.68541 166.4759 59.21626 129.6054 NA 102.790485 71.50642 71.50642 91.61761 NA 63.68541 NA 49.16067 61.45083 68.15456 108.93557 NA 266.47316 74.85829 68.713205 79.32744 NA 91.058965 117.87387 88.265745 62.56812 88.824385
"18" 57.69622 69.84279 60.73286 NA 81.98936 NA NA 74.39776 NA NA 68.32447 77.4344 49.34545 54.65958 NA 110.83747 74.39776 65.28783 59.21454 130.57565 97.17258 65.28783 72.87943 51.62293 62.25118 167.01537 60.73286 121.465725 NA 95.654255 74.39776 80.47104 95.65426 NA 69.84279 NA 48.58629 63.76951 74.39776 122.224885 NA 257.355505 74.39776 75.15692 71.36111 NA 97.93174 134.37146 106.28251 63.010345 95.65426
"19" 48.64768 69.49668 60.23045 NA 75.28807 NA NA 64.86357 NA NA 69.49668 83.39601 47.4894 55.59734 NA 106.56157 71.81323 69.49668 57.9139 120.46091 94.97879 53.28079 74.12979 48.64768 71.81323 169.10858 55.59734 137.83508 NA 105.403295 74.12979 74.12979 85.71257 NA 67.18012 NA 46.33112 60.23045 74.12979 123.93574 NA 267.56221 76.44635 68.3384 62.54701 NA 86.87085 100.770185 81.07946 63.70529 100.770185
"20" 57.91682 74.84635 56.13476 NA 85.538685 NA NA 66.8271 NA NA 71.28224 70.39121 48.11551 53.46168 NA 99.79513 83.311115 73.06429 53.46168 114.94261 91.77588 63.26299 88.21177 51.67962 61.48093 124.74392 60.5899 114.94261 NA 106.03233 71.727755 78.41046 78.41046 NA 56.13476 NA 46.33345 59.69887 70.39121 104.695785 NA 187.115875 75.73738 75.291865 74.84635 NA 97.567565 127.862515 90.43934 68.16364 98.458595
"21" 54.56817 67.16083 60.8645 NA 80.80287 NA NA 69.2596 NA NA 72.40777 73.45716 46.17307 54.56817 NA 96.54369 73.45716 75.55593 54.56817 119.63023 96.54369 52.4694 79.75348 54.56817 73.45716 186.79105 54.56817 137.46982 NA 102.84002 70.30899 79.75348 77.65471 NA 62.96328 NA 50.37062 60.8645 73.45716 120.679615 NA 265.49515 73.45716 73.45716 71.35838 NA 88.148585 115.432675 94.44492 71.35838 110.185735
"22" 57.50759 76.89968 54.83281 NA 74.8936 NA NA 60.516705 NA NA 75.562295 68.20667 51.155005 52.82674 NA 109.66563 98.29785 93.617 57.50759 130.39511 94.28569 60.18236 74.22491 56.83889 56.1702 136.41334 62.85713 164.49844 NA 114.34648 75.22795 76.23099 90.27354 NA 58.84497 NA 44.13373 61.51974 79.57445 122.370795 NA 197.933085 73.55621 81.914875 76.23099 NA 94.62004 151.45893 99.96958 74.8936 128.38903
"23" 60.94516 72.0261 57.25152 NA 93.26457 NA NA 70.17928 NA NA 75.71975 86.80069 55.40469 55.40469 NA 101.57527 83.10704 83.10704 57.25152 112.65621 94.18798 62.79199 73.87292 55.40469 60.94516 145.89903 59.09834 148.66926 NA 104.345505 76.64316 73.87292 79.41339 NA 57.25152 NA 48.0174 62.79199 77.56657 105.26892 NA 212.38466 79.41339 72.0261 75.71975 NA 88.64751 129.277615 86.80069 72.94951 108.96256
"24" 68.87222 72.69846 56.75581 NA 87.04684 NA NA 71.7419 NA NA 75.886985 77.1624 60.9009 55.4804 NA 100.11981 85.45257 73.33616 59.30664 122.43951 90.55422 71.42305 83.53946 51.65417 68.23452 137.74445 65.68369 146.034625 NA 106.49686 76.843545 77.8001 73.97387 NA 63.13287 NA 47.19023 63.13287 71.42305 109.047685 NA 197.68879 73.33616 73.33616 77.8001 NA 95.01816 120.845245 100.11981 72.060755 92.46734
"25" 69.61044 75.93866 63.28222 NA 72.77455 NA NA 72.77455 NA NA 69.61044 88.59511 50.62578 56.954 NA 113.90799 69.61044 56.954 56.954 107.57977 101.25155 69.61044 82.26688 50.62578 63.28222 183.51844 56.954 126.56444 NA 88.59511 82.26688 82.26688 101.25155 NA 63.28222 NA 50.62578 63.28222 75.93866 107.57977 NA 291.09821 82.26688 69.61044 82.26688 NA 75.93866 113.90799 94.92333 63.28222 101.25155
"26" 60.38811 67.70788 62.21805 NA 92.412105 NA NA 71.36776 NA NA 76.85759 86.00731 53.06834 54.89828 NA 115.28639 73.19771 67.70788 54.89828 113.45645 96.98696 69.53782 82.34742 51.2384 73.19771 144.56547 58.55817 101.561815 NA 105.221705 75.02765 78.68754 82.34742 NA 58.55817 NA 49.40845 62.21805 67.70788 106.13668 NA 207.698495 76.85759 76.85759 76.85759 NA 91.49713 125.35107 80.517475 64.04799 91.497135
"27" 58.48112 66.17601 61.55908 NA 85.413225 NA NA 68.484475 NA NA 76.17936 89.26066 50.01675 56.94215 NA 116.96225 75.40987 58.48112 60.0201 123.11816 96.95555 76.94885 90.79964 47.70829 69.25396 146.20281 61.55908 129.27407 NA 113.11481 87.72169 73.87089 95.41657 NA 66.17601 NA 49.24726 63.09806 76.94885 116.19276 NA 226.22961 72.33192 73.87089 78.48783 NA 94.647085 139.277415 86.9522 64.63703 100.0335
"28" 59.59671 80.63084 63.10239 NA 78.877995 NA NA 72.743035 NA NA 78.00157 89.39506 52.585325 56.09102 NA 105.17066 71.86661 63.10239 57.84386 110.42919 89.39506 70.11377 68.36093 52.58533 66.60808 148.99176 61.34955 119.19341 NA 106.9235 81.50726 84.13652 96.40643 NA 64.85524 NA 52.58533 63.10239 71.86661 102.54139 NA 215.599845 82.38368 80.63084 87.64221 NA 79.754415 114.8113 85.88937 65.73166 85.88937
"29" 59.89014 73.50153 55.80672 NA 78.94609 NA NA 72.82096 NA NA 68.73755 83.02951 46.27874 55.80672 NA 107.53002 76.22381 68.05698 57.16786 107.53002 95.27977 57.16786 74.86267 49.00102 66.69584 181.03156 61.25128 130.66939 NA 90.51578 73.50153 76.22381 87.11293 NA 63.97356 NA 46.27874 61.25128 76.22381 107.53002 NA 300.81183 83.02951 72.14039 66.69584 NA 83.02951 103.4466 79.62666 68.05698 97.321475
"30" 65.92017 68.36165 65.92017 NA 81.789835 NA NA 69.582395 NA NA 65.92017 78.12761 53.71273 58.5957 NA 107.42546 83.01058 80.56909 61.03719 114.74992 102.54248 70.80314 78.12761 51.27124 70.80314 180.67009 65.92017 135.50257 NA 97.65951 83.01058 75.68612 90.33504 NA 63.47868 NA 51.27124 63.47868 73.24463 118.412155 NA 274.667365 75.68612 70.80314 73.24463 NA 85.45207 115.970665 90.335045 67.14091 104.98397
"31" 70.21638 70.21638 64.11061 NA 74.795715 NA NA 68.68994 NA NA 70.21638 82.42793 54.95195 61.05773 NA 106.85102 73.26927 73.26927 58.00484 112.95679 97.69236 54.95195 76.32216 51.89907 67.1635 195.38472 58.00484 143.485655 NA 88.5337 82.42793 79.37504 82.42793 NA 67.1635 NA 48.84618 61.05773 73.26927 123.641895 NA 274.75977 79.37504 70.21638 67.1635 NA 73.26927 128.22122 88.5337 61.05773 91.58659
"32" 60.37676 68.11737 55.73239 NA 85.92077 NA NA 63.473 NA NA 69.66549 77.4061 44.89554 54.95833 NA 114.56103 79.72828 74.30985 58.82863 131.59037 100.62793 55.73239 78.95422 51.08802 66.56924 168.74529 61.92488 171.06748 NA 106.820415 77.4061 83.59859 92.88732 NA 61.92488 NA 47.99178 62.69894 74.30985 131.59037 NA 265.50292 78.95422 81.2764 88.24295 NA 88.24295 138.556915 120.75351 73.53579 107.59448
"33" 60.43164 66.18704 54.67625 NA 73.38128 NA NA 60.43164 NA NA 70.50358 74.82013 47.48201 54.67625 NA 117.98559 82.733795 80.57553 60.43164 126.61868 90.64747 53.2374 77.69783 50.3597 60.43164 161.15105 60.43164 150.359685 NA 117.98559 84.89207 74.82013 86.33092 NA 61.87049 NA 46.04316 61.87049 79.13668 125.179835 NA 243.88485 71.94243 78.417255 77.69783 NA 82.01437 125.89926 97.122285 76.25898 102.15826
"34" 60.86343 73.67678 64.06677 NA 80.08346 NA NA 70.47345 NA NA 73.67678 83.2868 48.05008 54.45675 NA 102.50683 73.67678 67.27011 57.66009 112.11684 89.69348 60.86343 86.49014 54.45675 70.47345 172.98028 60.86343 118.52352 NA 96.10015 76.88012 83.2868 89.69348 NA 57.66009 NA 51.25341 64.06677 67.27011 100.90516 NA 286.69879 80.08346 67.27011 67.27011 NA 88.09181 118.52352 88.09181 65.66844 92.896815
"35" 69.81608 68.44714 61.60242 NA 95.82599 NA NA 73.92291 NA NA 69.81608 78.02973 53.388765 57.49559 NA 94.45705 75.29185 69.81608 58.86454 117.72907 90.35022 60.23348 75.29185 52.01982 64.34031 160.1663 60.23348 104.039645 NA 95.82599 75.29185 69.81608 78.02973 NA 60.23348 NA 52.01982 64.34031 64.34031 111.568835 NA 255.30782 79.39868 73.92291 80.76762 NA 100.61729 106.09306 92.40363 68.44714 93.772575
"36" 60.57175 62.73503 60.57175 NA 73.55141 NA NA 74.63305 NA NA 67.06158 77.87797 64.89831 61.65339 NA 97.34746 71.38814 71.38814 58.40848 99.51074 82.20452 67.06158 67.06158 50.83701 64.89831 147.10283 56.2452 94.102545 NA 90.85763 72.469775 69.22486 82.20452 NA 60.57175 NA 51.91865 62.73503 62.73503 75.71469 NA 202.26639 73.55141 69.22486 77.87797 NA 70.3065 108.163845 82.20452 65.979945 86.53108
"37" 53.78825 64.5459 60.24284 NA 75.30355 NA NA 65.621665 NA NA 63.470135 98.97038 53.78825 53.78825 NA 105.42497 73.15202 66.69743 58.09131 116.18262 94.66732 66.69743 71.00049 51.63672 66.69743 180.72851 60.24284 150.60709 NA 107.5765 78.530845 77.45508 86.0612 NA 64.5459 NA 47.33366 62.39437 75.30355 95.743085 NA 280.774655 79.60661 72.076255 75.30355 NA 82.833905 114.03109 77.45508 58.09131 89.288495
