"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51"
"1" 44.72203 65.84077 40.37406 68.325325 45.96431 57.14482 39.13178 55.90254 37.8895 35.40494 54.66026 63.97735 42.23748 47.20659 NA 69.56761 72.05216 83.23267 39.75292 70.80989 64.59849 42.858615 44.72203 45.96431 42.23748 145.34661 42.23748 108.07825 NA 88.20179 57.14482 49.07001 49.69115 NA 47.20659 NA 34.7838 48.44887 49.69115 70.18875 NA 270.81675 63.35621 58.3871 63.356215 49.691145 58.3871 85.09609 59.62938 60.87166 73.29444
"2" 46.64988 57.95894 43.82262 61.493025 50.89078 50.89078 41.702165 55.13168 42.408985 33.92719 60.78621 66.44074 40.99535 48.06351 NA 75.629355 73.50891 84.81797 39.58172 70.68164 63.61348 38.874905 49.47715 45.23625 41.702165 144.19054 46.64988 96.12703 NA 93.29976 57.95894 50.89078 42.40898 NA 45.23625 NA 33.92719 49.47715 48.06351 55.13168 NA 265.76296 61.493025 67.85437 62.199845 83.40433 63.61348 81.9907 50.89078 57.95894 69.26801
"3" 46.28369 64.70271 46.755975 68.48097 50.06195 54.78478 47.228255 49.11739 38.72717 30.22608 59.5076 60.92445 41.56087 47.22826 NA 76.50977 77.45434 87.84456 37.7826 73.203795 64.23043 41.56087 44.39456 46.28369 41.560865 133.655965 47.22826 98.23477 NA 93.51195 54.78478 50.534235 47.22826 NA 44.39456 NA 35.89347 48.17282 50.06195 65.17499 NA 242.75324 58.56304 64.23043 69.89782 74.62064 63.28586 68.95325 51.00652 57.61847 67.06412
"4" 49.17881 64.752095 50.8181 75.407505 50.8181 62.29316 40.98234 52.4574 48.359165 31.966225 60.65386 63.112805 47.53952 49.17881 NA 68.85033 72.12892 75.40751 37.70375 70.48963 63.93245 45.080575 42.62163 44.26093 45.080575 165.56866 47.53952 119.66843 NA 83.60397 55.73598 52.4574 51.63775 NA 49.17881 NA 37.70375 50.8181 57.37528 62.29316 NA 301.63003 55.73598 70.48963 59.01457 80.325385 55.73598 86.062915 50.8181 59.01457 63.93245
"5" 48.35191 60.43989 47.48849 72.52787 53.53248 64.75703 48.351915 50.94219 37.55908 34.53708 60.008175 59.57646 43.17135 50.94219 NA 71.23273 74.25472 79.43529 39.71764 70.369305 63.8936 40.58107 43.17135 47.48849 43.17135 122.60664 48.35191 94.11355 NA 83.75242 59.57646 51.80562 47.9202 NA 44.03478 NA 36.26394 50.94219 55.25933 72.959585 NA 217.58361 56.12276 66.48388 63.03017 87.637845 63.8936 81.16214 44.89821 59.57646 66.915595
"6" 48.38959 64.322745 40.12795 66.0931 47.20936 61.96228 41.603245 57.24134 41.603245 35.40702 52.52041 61.96228 41.30819 48.38959 NA 58.71664 67.86345 78.78061 36.58725 64.32275 57.24134 38.65266 44.25877 45.43901 38.94772 106.22105 42.19336 86.15707 NA 87.33731 56.65123 48.97971 49.274765 NA 47.79947 NA 35.99713 46.61924 50.15994 60.782045 NA 172.90427 56.35617 61.37216 63.14251 76.420145 50.75006 72.289325 40.71807 60.78205 63.73263
"7" 44.07921 62.904705 44.53837 69.79208 54.1807 69.79208 41.32426 48.67079 41.32426 32.14109 57.394805 67.03713 45.91584 47.75248 NA 67.49629 73.46535 84.94431 40.40594 75.30198 67.95545 42.24258 36.73267 43.16089 43.16089 139.58416 47.75248 103.76981 NA 88.15842 60.60891 46.83416 50.04827 NA 47.75248 NA 33.97772 48.67079 51.42574 61.52723 NA 250.7005 58.31312 65.2005 68.873765 72.547035 63.36386 84.94431 68.87376 52.34406 70.7104
"8" 46.9264 60.72828 44.166025 64.86885 42.78584 52.44715 39.335365 52.44715 40.715555 29.674045 55.897625 64.178755 38.64527 48.30659 NA 71.76979 70.3896 71.76979 40.02546 73.14998 67.62923 48.30659 46.9264 44.16603 42.78584 149.06033 45.54621 84.19149 NA 97.99337 56.58772 48.30659 52.44715 NA 46.9264 NA 34.50471 48.30659 55.20753 62.798565 NA 262.23577 55.20753 59.3481 60.72828 63.48866 55.20753 90.402335 49.68678 57.96791 69.699505
"9" 45.73311 65.96121 50.13052 58.04586 51.88949 68.59966 39.136985 52.76897 41.77543 38.2575 59.80483 67.280435 43.09466 51.88949 NA 75.63552 70.35862 79.59319 40.45621 74.3163 64.20224 40.89595 42.21517 43.09466 41.33569 164.903025 48.811295 94.98414 NA 81.7919 60.68431 54.52793 43.09466 NA 51.88949 NA 36.93828 51.01 54.52793 67.720175 NA 283.19346 59.36509 63.32276 64.641985 75.63552 57.16638 84.43035 51.01 55.40742 65.081725
"10" 50.11073 70.69192 48.32106 59.05907 46.53139 66.21775 40.267545 51.9004 48.32106 39.37271 59.05907 58.164235 41.16238 51.9004 NA 68.902255 69.79709 78.74543 39.37271 66.21775 66.21775 48.32106 41.16238 44.74172 44.74172 159.28053 46.53139 116.32848 NA 84.11444 66.21775 50.11073 49.215895 NA 55.47973 NA 37.58305 51.9004 46.53139 59.05907 NA 289.92635 59.05907 57.2694 60.84874 60.84874 64.42808 84.11444 44.74172 57.2694 75.16609
