"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51"
"1" 52.75382 76.402085 50.93472 NA 56.392015 NA 52.75382 60.03021 NA NA 69.12569 81.85937 47.29653 57.30156 NA 96.41215 83.67847 76.40208 50.93472 76.40208 74.58299 59.12066 60.03021 55.482465 45.47743 143.70868 58.21111 88.226215 NA 128.24635 69.125695 69.12569 77.31163 NA 58.21111 NA 41.83924 60.03021 70.03524 83.67847 NA 201.01024 67.3066 74.58299 56.39201 74.58299 65.4875 87.31667 67.3066 80.04028 81.85937
"2" 59.86113 66.00074 53.337805 NA 59.86113 NA 42.97722 67.919365 NA NA 67.53564 88.2568 45.663305 56.02388 NA 92.8615 82.88465 79.0474 52.18663 75.21014 74.44269 65.23329 53.72153 51.41918 44.895855 159.62969 56.02388 94.012675 NA 127.013045 69.83799 69.83799 82.500925 NA 58.32623 NA 41.44232 59.09368 73.67524 79.0474 NA 244.81669 68.30309 74.44269 62.16349 62.16349 64.849565 95.16385 69.07054 74.826415 86.7219
"3" 59.39356 62.575355 57.27236 NA 71.41368 NA 49.49463 61.161225 NA NA 69.29248 82.01967 48.787565 59.39356 NA 85.555005 82.72674 81.31261 51.969365 72.12075 75.65608 58.68649 59.74709 55.504695 47.37343 156.26162 55.85823 121.61538 NA 106.76699 66.46422 69.29248 65.757155 NA 55.85823 NA 45.25223 62.22182 72.827815 71.41368 NA 245.351955 67.87835 69.29248 67.87835 67.17129 68.58542 99.69633 72.82781 74.24195 76.36315
"4" 56.27341 67.38 52.57121 NA 69.60132 NA 53.31165 65.89912 NA NA 66.63956 79.96747 41.46461 60.71604 NA 87.37187 85.89099 87.37187 49.60945 74.04395 72.56308 59.23516 58.49472 53.31165 46.64769 148.08791 57.75428 94.03582 NA 104.401975 69.60132 75.52483 75.52483 NA 54.79253 NA 42.94549 60.71604 64.41824 71.0822 NA 231.01714 63.6778 75.52483 62.19692 59.23516 62.19692 97.73802 65.15868 74.04395 78.48659
"5" 54.07343 64.347385 49.74756 NA 70.8362 NA 46.50315 65.428855 NA NA 71.37693 82.19162 45.42168 59.48078 NA 83.27309 82.19162 77.86574 50.288295 75.70281 76.78428 58.39931 59.48078 52.99196 40.555075 158.97589 59.48078 97.872915 NA 102.73952 73.53987 69.21399 63.80665 NA 60.56225 NA 44.34022 60.56225 65.428855 80.02868 NA 281.722585 68.67326 75.70281 72.4584 65.96959 66.510325 115.71715 62.72518 77.32501 75.70281
"6" 56.13391 72.69801 55.90385 NA 66.71653 NA 49.002145 63.26567 NA NA 68.55698 84.66097 48.31197 60.965105 NA 90.4124 86.50143 83.28063 48.31197 75.91881 75.91881 65.7963 54.523505 56.363965 47.161685 143.09545 62.11539 111.11753 NA 118.70941 69.70727 76.83904 70.167385 NA 63.95584 NA 44.17094 62.11539 68.326925 71.31767 NA 218.784205 59.81482 69.93733 65.33619 77.75926 65.336185 102.60542 64.41596 80.750005 88.34189
"7" 53.10237 65.548235 51.99607 NA 71.90946 NA 42.869105 64.441935 NA NA 69.69686 75.78151 44.251975 56.697845 NA 93.205725 88.50395 75.78151 47.847445 82.4193 79.10041 57.804145 63.059065 52.825795 47.57087 120.03348 60.29332 98.18407 NA 121.969505 73.01576 65.27166 79.10041 NA 63.05907 NA 43.14568 60.84647 73.292335 82.4193 NA 185.30515 67.207685 74.67521 73.01576 77.44096 74.951785 105.09844 77.44096 77.99411 84.6319
"8" 57.8966 77.847465 50.855125 NA 78.62985 NA 54.375865 66.89405 NA NA 69.6324 69.6324 47.72558 55.54945 NA 86.453715 94.66877 93.88639 48.50797 83.71536 73.54434 61.417345 49.681545 56.33183 40.6841 107.96934 61.80854 96.23355 NA 122.443495 74.326725 62.59092 68.85002 NA 52.4199 NA 39.90171 59.46138 73.54434 96.23355 NA 163.909985 68.06763 82.15059 73.54434 78.23866 73.544335 115.79321 69.6324 77.847465 88.40968
"9" 60.94546 70.59516 53.32728 NA 71.10304 NA 48.24849 68.05576 NA NA 71.10304 86.3394 48.24849 59.9297 NA 78.72122 82.27637 77.19758 46.216975 74.15031 78.21334 58.913945 55.35879 57.39031 47.74061 153.37941 51.80364 108.17819 NA 112.749105 62.976975 66.02425 74.15031 NA 54.85091 NA 44.69334 61.96122 73.134555 88.37092 NA 215.848505 66.02425 71.10304 68.05576 77.19758 73.64243 110.71759 69.07152 75.67395 87.35516
"10" 56.4486 71.89769 50.209545 NA 71.006395 NA 46.64437 61.796365 NA NA 70.7093 79.02804 46.050175 56.151505 NA 110.22332 89.72357 93.88294 50.50664 89.72357 80.81063 54.07182 54.96311 56.4486 49.61535 118.83916 61.20217 112.00591 NA 120.32465 74.274475 71.89769 83.781605 NA 49.91245 NA 39.81112 59.41958 79.62224 103.98426 NA 181.823915 62.09346 90.91196 82.59322 80.81063 71.897695 107.54944 76.65126 85.2671 87.34678
