"Gene_name" "PC" "P-value" "FDR" "Tissue" "Cold_response" "Drought_response" "Drought_down-regulated" "Drought_up-regulated"
"1" "GRMZM2G053801" "PC2" 5.48657346081683e-06 0.0269226159722282 "Kern" TRUE "no" FALSE FALSE
"2" "GRMZM2G086801" "PC2" 1.59666078677065e-06 0.0156696289613672 "Kern" FALSE "no" FALSE FALSE
"3" "GRMZM2G155543" "PC2" 2.68788190271632e-05 0.0879295766441933 "Kern" FALSE "no" FALSE FALSE
"4" "GRMZM2G099317" "PC3" 3.26365545573725e-05 0.0533825244043422 "Kern" TRUE "no" FALSE FALSE
"5" "GRMZM2G105539" "PC3" 3.00110055390754e-05 0.0533825244043422 "Kern" FALSE "no" FALSE FALSE
"6" "GRMZM2G114789" "PC3" 3.19141529411207e-06 0.0156602748482079 "Kern" TRUE "no" FALSE FALSE
"7" "GRMZM2G332259" "PC3" 1.26358621668603e-05 0.0413361171018558 "Kern" FALSE "yes" TRUE FALSE
"8" "GRMZM2G339562" "PC3" 5.60944890098321e-09 5.50511315142492e-05 "Kern" TRUE "no" FALSE FALSE
"9" "GRMZM5G898740" "PC3" 2.17223833217707e-05 0.0532958674799644 "Kern" TRUE "no" FALSE FALSE
"10" "GRMZM2G049811" "PC4" 2.84084102720826e-07 0.00278800138410218 "Kern" FALSE "no" FALSE FALSE
"11" "GRMZM2G152686" "PC1" 7.9886546270903e-07 0.00709312644339348 "LMAD26" TRUE "no" FALSE FALSE
"12" "GRMZM2G009894" "PC2" 2.36920446759059e-05 0.0525904161693421 "LMAD26" TRUE "no" FALSE FALSE
"13" "GRMZM2G067624" "PC2" 1.88373760527019e-05 0.0525904161693421 "LMAD26" TRUE "no" FALSE FALSE
"14" "GRMZM2G092427" "PC2" 5.38645032466597e-05 0.0956525848654184 "LMAD26" FALSE "no" FALSE FALSE
"15" "GRMZM2G152686" "PC2" 8.58852227864182e-06 0.0525904161693421 "LMAD26" TRUE "no" FALSE FALSE
"16" "GRMZM2G405090" "PC2" 1.45696536348785e-05 0.0525904161693421 "LMAD26" TRUE "no" FALSE FALSE
"17" "GRMZM2G066923" "PC3" 7.14191627404913e-06 0.0317065372986411 "LMAD26" TRUE "no" FALSE FALSE
"18" "GRMZM2G093574" "PC3" 7.94643581442082e-08 0.000705564035962424 "LMAD26" TRUE "no" FALSE FALSE
"19" "GRMZM5G829894" "PC3" 3.18583007762201e-05 0.0942899508640195 "LMAD26" TRUE "no" FALSE FALSE
"20" "GRMZM2G025231" "PC5" 4.89938204759695e-05 0.0294617341292122 "LMAD26" FALSE "no" FALSE FALSE
"21" "GRMZM2G027862" "PC5" 5.6439236087419e-05 0.0313202485762621 "LMAD26" TRUE "no" FALSE FALSE
"22" "GRMZM2G044038" "PC5" 0.000162946355351397 0.0629459151207569 "LMAD26" TRUE "no" FALSE FALSE
"23" "GRMZM2G045638" "PC5" 4.59795755119184e-05 0.0294617341292122 "LMAD26" TRUE "yes" FALSE TRUE
"24" "GRMZM2G059825" "PC5" 2.45828395187286e-05 0.0218271032086792 "LMAD26" FALSE "no" FALSE FALSE
"25" "GRMZM2G069762" "PC5" 0.000133163136498064 0.0614596240829389 "LMAD26" FALSE NA NA NA
"26" "GRMZM2G074604" "PC5" 3.5818391825736e-05 0.0289119546382464 "LMAD26" FALSE "no" FALSE FALSE
"27" "GRMZM2G081239" "PC5" 0.000127528115078878 0.0614596240829389 "LMAD26" TRUE "no" FALSE FALSE
"28" "GRMZM2G092776" "PC5" 7.65888910163134e-05 0.0400019272549322 "LMAD26" TRUE "no" FALSE FALSE
"29" "GRMZM2G110735" "PC5" 1.83738724851508e-05 0.0218271032086792 "LMAD26" FALSE "no" FALSE FALSE
"30" "GRMZM2G117401" "PC5" 0.000146921206179813 0.0621196852224074 "LMAD26" TRUE "no" FALSE FALSE
"31" "GRMZM2G124540" "PC5" 0.000301121452677068 0.0990243473451734 "LMAD26" TRUE "no" FALSE FALSE
"32" "GRMZM2G128219" "PC5" 1.55617251739798e-05 0.0218271032086792 "LMAD26" TRUE "no" FALSE FALSE
"33" "GRMZM2G135359" "PC5" 0.000163053952897557 0.0629459151207569 "LMAD26" TRUE "no" FALSE FALSE
"34" "GRMZM2G147849" "PC5" 2.08331920720068e-05 0.0218271032086792 "LMAD26" TRUE "no" FALSE FALSE
"35" "GRMZM2G155281" "PC5" 7.51207347409265e-07 0.00666997003764686 "LMAD26" TRUE "yes" TRUE FALSE
"36" "GRMZM2G168364" "PC5" 1.67195646997608e-06 0.0074226507484588 "LMAD26" TRUE "no" FALSE FALSE
"37" "GRMZM2G172214" "PC5" 0.000173425401741001 0.0641601725857643 "LMAD26" TRUE "yes" FALSE TRUE
"38" "GRMZM2G178822" "PC5" 1.51404415278856e-05 0.0218271032086792 "LMAD26" FALSE NA NA NA
"39" "GRMZM2G354610" "PC5" 0.000229655468831743 0.0815644363102819 "LMAD26" TRUE "no" FALSE FALSE
"40" "GRMZM2G391936" "PC5" 0.000138438166647007 0.0614596240829389 "LMAD26" FALSE "no" FALSE FALSE
"41" "GRMZM2G411668" "PC5" 4.87236923541491e-05 0.0294617341292122 "LMAD26" TRUE "no" FALSE FALSE
"42" "GRMZM2G412440" "PC5" 0.000269383797417456 0.0919945668180613 "LMAD26" TRUE "no" FALSE FALSE
"43" "GRMZM2G412601" "PC5" 2.34888756222419e-05 0.0218271032086792 "LMAD26" TRUE "yes" TRUE FALSE
"44" "GRMZM2G415793" "PC5" 4.97720477461632e-05 0.0294617341292122 "LMAD26" FALSE "no" FALSE FALSE
"45" "GRMZM2G424832" "PC5" 3.72187131679673e-06 0.0110154984739461 "LMAD26" TRUE "no" FALSE FALSE
"46" "GRMZM5G800586" "PC5" 8.66955913945977e-06 0.0192442538998158 "LMAD26" FALSE "no" FALSE FALSE
"47" "GRMZM2G152686" "PC1" 1.80133683000714e-08 0.000151942761611102 "LMAN26" TRUE "no" FALSE FALSE
"48" "GRMZM2G040803" "PC3" 3.27252152666093e-05 0.064592090837133 "LMAN26" FALSE "no" FALSE FALSE
"49" "GRMZM2G059252" "PC3" 3.82881392039911e-05 0.064592090837133 "LMAN26" FALSE "no" FALSE FALSE
"50" "GRMZM2G076631" "PC3" 6.21139409959243e-05 0.0873218487167702 "LMAN26" TRUE "no" FALSE FALSE
"51" "GRMZM2G104505" "PC3" 3.99426384020251e-06 0.0336916154921081 "LMAN26" TRUE "no" FALSE FALSE
"52" "GRMZM2G425482" "PC3" 2.68852092308467e-05 0.064592090837133 "LMAN26" TRUE "no" FALSE FALSE
"53" "GRMZM5G829894" "PC3" 1.88231842093289e-05 0.064592090837133 "LMAN26" TRUE "no" FALSE FALSE
"54" "GRMZM2G012183" "PC5" 3.34303011283589e-08 0.000281984590017708 "LMAN26" TRUE NA NA NA
